sexe;preusuel;annais;nombre
1;TEDDY;1921;3
1;TEDDY;1925;4
1;TEDDY;1938;3
1;TEDDY;1940;3
1;TEDDY;1941;5
1;TEDDY;1942;6
1;TEDDY;1943;4
1;TEDDY;1944;4
1;TEDDY;1945;9
1;TEDDY;1946;12
1;TEDDY;1947;16
1;TEDDY;1948;12
1;TEDDY;1949;15
1;TEDDY;1950;13
1;TEDDY;1951;9
1;TEDDY;1952;8
1;TEDDY;1953;9
1;TEDDY;1954;9
1;TEDDY;1955;18
1;TEDDY;1956;18
1;TEDDY;1957;19
1;TEDDY;1958;16
1;TEDDY;1959;19
1;TEDDY;1960;20
1;TEDDY;1961;15
1;TEDDY;1962;10
1;TEDDY;1963;17
1;TEDDY;1964;18
1;TEDDY;1965;34
1;TEDDY;1966;32
1;TEDDY;1967;30
1;TEDDY;1968;49
1;TEDDY;1969;72
1;TEDDY;1970;81
1;TEDDY;1971;109
1;TEDDY;1972;158
1;TEDDY;1973;199
1;TEDDY;1974;392
1;TEDDY;1975;297
1;TEDDY;1976;295
1;TEDDY;1977;377
1;TEDDY;1978;422
1;TEDDY;1979;520
1;TEDDY;1980;584
1;TEDDY;1981;612
1;TEDDY;1982;780
1;TEDDY;1983;750
1;TEDDY;1984;723
1;TEDDY;1985;881
1;TEDDY;1986;1023
1;TEDDY;1987;1011
1;TEDDY;1988;1010
1;TEDDY;1989;944
1;TEDDY;1990;950
1;TEDDY;1991;948
1;TEDDY;1992;919
1;TEDDY;1993;696
1;TEDDY;1994;641
1;TEDDY;1995;575
1;TEDDY;1996;561
1;TEDDY;1997;631
1;TEDDY;1998;576
1;TEDDY;1999;553
1;TEDDY;2000;604
1;TEDDY;2001;524
1;TEDDY;2002;444
1;TEDDY;2003;363
1;TEDDY;2004;387
1;TEDDY;2005;323
1;TEDDY;2006;250
1;TEDDY;2007;280
1;TEDDY;2008;216
1;TEDDY;2009;202
1;TEDDY;2010;179
1;TEDDY;2011;185
1;TEDDY;2012;140
1;TEDDY;2013;147
1;TEDDY;2014;119
1;TEDDY;2015;109
1;TEDDY;2016;95
1;TEDDY;2017;80
1;TEDDY;2018;72
1;TEDDY;2019;63
1;TEDDY;2020;40
1;TEDDY;2021;35
1;TEDDY;2022;30
1;TEDDY;XXXX;21
