sexe;preusuel;annais;nombre
2;EBRU;1974;4
2;EBRU;1976;5
2;EBRU;1981;3
2;EBRU;1982;4
2;EBRU;1983;6
2;EBRU;1984;11
2;EBRU;1985;9
2;EBRU;1986;11
2;EBRU;1987;10
2;EBRU;1988;15
2;EBRU;1989;25
2;EBRU;1990;31
2;EBRU;1991;29
2;EBRU;1992;48
2;EBRU;1993;62
2;EBRU;1994;52
2;EBRU;1995;45
2;EBRU;1996;38
2;EBRU;1997;41
2;EBRU;1998;28
2;EBRU;1999;27
2;EBRU;2000;16
2;EBRU;2001;22
2;EBRU;2002;19
2;EBRU;2003;13
2;EBRU;2004;15
2;EBRU;2005;13
2;EBRU;2006;9
2;EBRU;2007;7
2;EBRU;2008;10
2;EBRU;2009;11
2;EBRU;2010;7
2;EBRU;2011;3
2;EBRU;2012;6
2;EBRU;2013;6
2;EBRU;2015;5
2;EBRU;2018;6
2;EBRU;2019;6
2;EBRU;2021;3
2;EBRU;XXXX;11
