sexe;preusuel;annais;nombre
2;MAGALIE;1906;5
2;MAGALIE;1910;5
2;MAGALIE;1917;3
2;MAGALIE;1920;5
2;MAGALIE;1923;3
2;MAGALIE;1924;4
2;MAGALIE;1925;4
2;MAGALIE;1926;6
2;MAGALIE;1928;4
2;MAGALIE;1929;3
2;MAGALIE;1931;5
2;MAGALIE;1932;3
2;MAGALIE;1933;5
2;MAGALIE;1934;8
2;MAGALIE;1935;4
2;MAGALIE;1936;3
2;MAGALIE;1937;4
2;MAGALIE;1938;7
2;MAGALIE;1939;3
2;MAGALIE;1940;5
2;MAGALIE;1941;6
2;MAGALIE;1942;5
2;MAGALIE;1943;6
2;MAGALIE;1944;10
2;MAGALIE;1945;6
2;MAGALIE;1946;10
2;MAGALIE;1947;4
2;MAGALIE;1948;9
2;MAGALIE;1949;9
2;MAGALIE;1950;7
2;MAGALIE;1951;6
2;MAGALIE;1952;8
2;MAGALIE;1953;11
2;MAGALIE;1954;10
2;MAGALIE;1955;19
2;MAGALIE;1956;19
2;MAGALIE;1957;15
2;MAGALIE;1958;26
2;MAGALIE;1959;17
2;MAGALIE;1960;23
2;MAGALIE;1961;40
2;MAGALIE;1962;50
2;MAGALIE;1963;97
2;MAGALIE;1964;121
2;MAGALIE;1965;204
2;MAGALIE;1966;237
2;MAGALIE;1967;267
2;MAGALIE;1968;322
2;MAGALIE;1969;421
2;MAGALIE;1970;547
2;MAGALIE;1971;848
2;MAGALIE;1972;926
2;MAGALIE;1973;1172
2;MAGALIE;1974;1159
2;MAGALIE;1975;1132
2;MAGALIE;1976;1274
2;MAGALIE;1977;1396
2;MAGALIE;1978;1479
2;MAGALIE;1979;1261
2;MAGALIE;1980;1521
2;MAGALIE;1981;1606
2;MAGALIE;1982;1238
2;MAGALIE;1983;1126
2;MAGALIE;1984;958
2;MAGALIE;1985;896
2;MAGALIE;1986;716
2;MAGALIE;1987;634
2;MAGALIE;1988;495
2;MAGALIE;1989;437
2;MAGALIE;1990;347
2;MAGALIE;1991;316
2;MAGALIE;1992;291
2;MAGALIE;1993;218
2;MAGALIE;1994;319
2;MAGALIE;1995;237
2;MAGALIE;1996;162
2;MAGALIE;1997;136
2;MAGALIE;1998;143
2;MAGALIE;1999;117
2;MAGALIE;2000;102
2;MAGALIE;2001;87
2;MAGALIE;2002;54
2;MAGALIE;2003;49
2;MAGALIE;2004;56
2;MAGALIE;2005;39
2;MAGALIE;2006;37
2;MAGALIE;2007;24
2;MAGALIE;2008;28
2;MAGALIE;2009;17
2;MAGALIE;2010;13
2;MAGALIE;2011;21
2;MAGALIE;2012;19
2;MAGALIE;2013;13
2;MAGALIE;2014;11
2;MAGALIE;2015;8
2;MAGALIE;2016;8
2;MAGALIE;2017;4
2;MAGALIE;2018;5
2;MAGALIE;2020;5
2;MAGALIE;2021;6
2;MAGALIE;2022;3
2;MAGALIE;XXXX;27
