sexe;preusuel;annais;nombre
1;MICHEL;1900;764
1;MICHEL;1901;902
1;MICHEL;1902;918
1;MICHEL;1903;959
1;MICHEL;1904;961
1;MICHEL;1905;1012
1;MICHEL;1906;1001
1;MICHEL;1907;1098
1;MICHEL;1908;1180
1;MICHEL;1909;1177
1;MICHEL;1910;1291
1;MICHEL;1911;1285
1;MICHEL;1912;1426
1;MICHEL;1913;1613
1;MICHEL;1914;1761
1;MICHEL;1915;1198
1;MICHEL;1916;952
1;MICHEL;1917;1129
1;MICHEL;1918;1329
1;MICHEL;1919;1534
1;MICHEL;1920;2571
1;MICHEL;1921;2833
1;MICHEL;1922;3204
1;MICHEL;1923;3722
1;MICHEL;1924;4219
1;MICHEL;1925;4857
1;MICHEL;1926;6030
1;MICHEL;1927;7322
1;MICHEL;1928;8825
1;MICHEL;1929;9862
1;MICHEL;1930;12703
1;MICHEL;1931;13453
1;MICHEL;1932;14073
1;MICHEL;1933;14417
1;MICHEL;1934;15677
1;MICHEL;1935;15749
1;MICHEL;1936;15883
1;MICHEL;1937;16357
1;MICHEL;1938;16850
1;MICHEL;1939;17142
1;MICHEL;1940;16369
1;MICHEL;1941;16139
1;MICHEL;1942;18704
1;MICHEL;1943;20722
1;MICHEL;1944;20880
1;MICHEL;1945;21010
1;MICHEL;1946;31887
1;MICHEL;1947;32584
1;MICHEL;1948;32277
1;MICHEL;1949;30450
1;MICHEL;1950;27955
1;MICHEL;1951;25136
1;MICHEL;1952;23768
1;MICHEL;1953;22351
1;MICHEL;1954;21381
1;MICHEL;1955;21553
1;MICHEL;1956;20435
1;MICHEL;1957;19031
1;MICHEL;1958;17719
1;MICHEL;1959;16425
1;MICHEL;1960;14464
1;MICHEL;1961;13326
1;MICHEL;1962;12185
1;MICHEL;1963;11434
1;MICHEL;1964;9908
1;MICHEL;1965;8463
1;MICHEL;1966;7927
1;MICHEL;1967;6752
1;MICHEL;1968;6033
1;MICHEL;1969;5010
1;MICHEL;1970;4428
1;MICHEL;1971;3918
1;MICHEL;1972;3302
1;MICHEL;1973;2680
1;MICHEL;1974;2153
1;MICHEL;1975;1699
1;MICHEL;1976;1619
1;MICHEL;1977;1441
1;MICHEL;1978;1370
1;MICHEL;1979;1302
1;MICHEL;1980;1218
1;MICHEL;1981;1134
1;MICHEL;1982;1004
1;MICHEL;1983;937
1;MICHEL;1984;845
1;MICHEL;1985;790
1;MICHEL;1986;708
1;MICHEL;1987;623
1;MICHEL;1988;625
1;MICHEL;1989;577
1;MICHEL;1990;563
1;MICHEL;1991;522
1;MICHEL;1992;465
1;MICHEL;1993;424
1;MICHEL;1994;373
1;MICHEL;1995;342
1;MICHEL;1996;325
1;MICHEL;1997;308
1;MICHEL;1998;270
1;MICHEL;1999;248
1;MICHEL;2000;242
1;MICHEL;2001;244
1;MICHEL;2002;188
1;MICHEL;2003;170
1;MICHEL;2004;180
1;MICHEL;2005;146
1;MICHEL;2006;129
1;MICHEL;2007;142
1;MICHEL;2008;112
1;MICHEL;2009;146
1;MICHEL;2010;128
1;MICHEL;2011;101
1;MICHEL;2012;86
1;MICHEL;2013;98
1;MICHEL;2014;78
1;MICHEL;2015;89
1;MICHEL;2016;65
1;MICHEL;2017;73
1;MICHEL;2018;51
1;MICHEL;2019;81
1;MICHEL;2020;65
1;MICHEL;2021;79
1;MICHEL;2022;74
