sexe;preusuel;annais;nombre
1;EDOUARD;1900;1142
1;EDOUARD;1901;1343
1;EDOUARD;1902;1331
1;EDOUARD;1903;1459
1;EDOUARD;1904;1385
1;EDOUARD;1905;1480
1;EDOUARD;1906;1441
1;EDOUARD;1907;1423
1;EDOUARD;1908;1476
1;EDOUARD;1909;1437
1;EDOUARD;1910;1484
1;EDOUARD;1911;1314
1;EDOUARD;1912;1445
1;EDOUARD;1913;1453
1;EDOUARD;1914;1348
1;EDOUARD;1915;915
1;EDOUARD;1916;741
1;EDOUARD;1917;701
1;EDOUARD;1918;825
1;EDOUARD;1919;885
1;EDOUARD;1920;1450
1;EDOUARD;1921;1300
1;EDOUARD;1922;1186
1;EDOUARD;1923;1158
1;EDOUARD;1924;1222
1;EDOUARD;1925;1191
1;EDOUARD;1926;1194
1;EDOUARD;1927;1107
1;EDOUARD;1928;1041
1;EDOUARD;1929;1022
1;EDOUARD;1930;1092
1;EDOUARD;1931;1039
1;EDOUARD;1932;969
1;EDOUARD;1933;918
1;EDOUARD;1934;863
1;EDOUARD;1935;743
1;EDOUARD;1936;730
1;EDOUARD;1937;729
1;EDOUARD;1938;731
1;EDOUARD;1939;717
1;EDOUARD;1940;669
1;EDOUARD;1941;512
1;EDOUARD;1942;488
1;EDOUARD;1943;490
1;EDOUARD;1944;420
1;EDOUARD;1945;404
1;EDOUARD;1946;520
1;EDOUARD;1947;507
1;EDOUARD;1948;477
1;EDOUARD;1949;460
1;EDOUARD;1950;401
1;EDOUARD;1951;318
1;EDOUARD;1952;354
1;EDOUARD;1953;287
1;EDOUARD;1954;298
1;EDOUARD;1955;275
1;EDOUARD;1956;274
1;EDOUARD;1957;250
1;EDOUARD;1958;232
1;EDOUARD;1959;238
1;EDOUARD;1960;219
1;EDOUARD;1961;258
1;EDOUARD;1962;244
1;EDOUARD;1963;246
1;EDOUARD;1964;257
1;EDOUARD;1965;315
1;EDOUARD;1966;240
1;EDOUARD;1967;257
1;EDOUARD;1968;264
1;EDOUARD;1969;264
1;EDOUARD;1970;310
1;EDOUARD;1971;323
1;EDOUARD;1972;309
1;EDOUARD;1973;329
1;EDOUARD;1974;323
1;EDOUARD;1975;346
1;EDOUARD;1976;323
1;EDOUARD;1977;334
1;EDOUARD;1978;395
1;EDOUARD;1979;479
1;EDOUARD;1980;530
1;EDOUARD;1981;478
1;EDOUARD;1982;564
1;EDOUARD;1983;540
1;EDOUARD;1984;558
1;EDOUARD;1985;617
1;EDOUARD;1986;632
1;EDOUARD;1987;720
1;EDOUARD;1988;810
1;EDOUARD;1989;790
1;EDOUARD;1990;757
1;EDOUARD;1991;771
1;EDOUARD;1992;680
1;EDOUARD;1993;722
1;EDOUARD;1994;569
1;EDOUARD;1995;462
1;EDOUARD;1996;468
1;EDOUARD;1997;462
1;EDOUARD;1998;414
1;EDOUARD;1999;458
1;EDOUARD;2000;389
1;EDOUARD;2001;395
1;EDOUARD;2002;363
1;EDOUARD;2003;364
1;EDOUARD;2004;421
1;EDOUARD;2005;371
1;EDOUARD;2006;362
1;EDOUARD;2007;317
1;EDOUARD;2008;314
1;EDOUARD;2009;324
1;EDOUARD;2010;345
1;EDOUARD;2011;348
1;EDOUARD;2012;346
1;EDOUARD;2013;329
1;EDOUARD;2014;315
1;EDOUARD;2015;294
1;EDOUARD;2016;307
1;EDOUARD;2017;293
1;EDOUARD;2018;285
1;EDOUARD;2019;255
1;EDOUARD;2020;249
1;EDOUARD;2021;242
1;EDOUARD;2022;274
