sexe;preusuel;annais;nombre
2;MÉLANIE;1900;578
2;MÉLANIE;1901;609
2;MÉLANIE;1902;644
2;MÉLANIE;1903;597
2;MÉLANIE;1904;575
2;MÉLANIE;1905;544
2;MÉLANIE;1906;543
2;MÉLANIE;1907;495
2;MÉLANIE;1908;502
2;MÉLANIE;1909;493
2;MÉLANIE;1910;489
2;MÉLANIE;1911;444
2;MÉLANIE;1912;403
2;MÉLANIE;1913;408
2;MÉLANIE;1914;362
2;MÉLANIE;1915;223
2;MÉLANIE;1916;155
2;MÉLANIE;1917;153
2;MÉLANIE;1918;188
2;MÉLANIE;1919;179
2;MÉLANIE;1920;304
2;MÉLANIE;1921;242
2;MÉLANIE;1922;258
2;MÉLANIE;1923;202
2;MÉLANIE;1924;197
2;MÉLANIE;1925;199
2;MÉLANIE;1926;185
2;MÉLANIE;1927;167
2;MÉLANIE;1928;154
2;MÉLANIE;1929;141
2;MÉLANIE;1930;118
2;MÉLANIE;1931;112
2;MÉLANIE;1932;104
2;MÉLANIE;1933;102
2;MÉLANIE;1934;80
2;MÉLANIE;1935;98
2;MÉLANIE;1936;86
2;MÉLANIE;1937;68
2;MÉLANIE;1938;63
2;MÉLANIE;1939;59
2;MÉLANIE;1940;57
2;MÉLANIE;1941;37
2;MÉLANIE;1942;41
2;MÉLANIE;1943;50
2;MÉLANIE;1944;40
2;MÉLANIE;1945;31
2;MÉLANIE;1946;34
2;MÉLANIE;1947;33
2;MÉLANIE;1948;38
2;MÉLANIE;1949;35
2;MÉLANIE;1950;38
2;MÉLANIE;1951;30
2;MÉLANIE;1952;41
2;MÉLANIE;1953;37
2;MÉLANIE;1954;39
2;MÉLANIE;1955;38
2;MÉLANIE;1956;41
2;MÉLANIE;1957;31
2;MÉLANIE;1958;38
2;MÉLANIE;1959;36
2;MÉLANIE;1960;17
2;MÉLANIE;1961;31
2;MÉLANIE;1962;29
2;MÉLANIE;1963;36
2;MÉLANIE;1964;35
2;MÉLANIE;1965;32
2;MÉLANIE;1966;29
2;MÉLANIE;1967;20
2;MÉLANIE;1968;29
2;MÉLANIE;1969;71
2;MÉLANIE;1970;176
2;MÉLANIE;1971;333
2;MÉLANIE;1972;412
2;MÉLANIE;1973;568
2;MÉLANIE;1974;775
2;MÉLANIE;1975;1138
2;MÉLANIE;1976;1641
2;MÉLANIE;1977;2370
2;MÉLANIE;1978;2676
2;MÉLANIE;1979;3564
2;MÉLANIE;1980;4657
2;MÉLANIE;1981;5041
2;MÉLANIE;1982;4902
2;MÉLANIE;1983;4419
2;MÉLANIE;1984;4910
2;MÉLANIE;1985;5775
2;MÉLANIE;1986;5804
2;MÉLANIE;1987;5449
2;MÉLANIE;1988;5283
2;MÉLANIE;1989;5779
2;MÉLANIE;1990;5487
2;MÉLANIE;1991;5097
2;MÉLANIE;1992;4662
2;MÉLANIE;1993;5515
2;MÉLANIE;1994;5706
2;MÉLANIE;1995;4797
2;MÉLANIE;1996;4272
2;MÉLANIE;1997;3536
2;MÉLANIE;1998;2996
2;MÉLANIE;1999;2367
2;MÉLANIE;2000;2166
2;MÉLANIE;2001;1617
2;MÉLANIE;2002;1155
2;MÉLANIE;2003;969
2;MÉLANIE;2004;840
2;MÉLANIE;2005;650
2;MÉLANIE;2006;583
2;MÉLANIE;2007;470
2;MÉLANIE;2008;388
2;MÉLANIE;2009;297
2;MÉLANIE;2010;204
2;MÉLANIE;2011;133
2;MÉLANIE;2012;139
2;MÉLANIE;2013;148
2;MÉLANIE;2014;130
2;MÉLANIE;2015;117
2;MÉLANIE;2016;106
2;MÉLANIE;2017;94
2;MÉLANIE;2018;94
2;MÉLANIE;2019;71
2;MÉLANIE;2020;70
2;MÉLANIE;2021;60
2;MÉLANIE;2022;62
