sexe;preusuel;annais;nombre
1;BRAHIMA;1979;3
1;BRAHIMA;1980;5
1;BRAHIMA;1981;6
1;BRAHIMA;1982;4
1;BRAHIMA;1983;3
1;BRAHIMA;1984;3
1;BRAHIMA;1985;8
1;BRAHIMA;1987;4
1;BRAHIMA;1988;5
1;BRAHIMA;1989;7
1;BRAHIMA;1990;6
1;BRAHIMA;1991;8
1;BRAHIMA;1992;7
1;BRAHIMA;1993;9
1;BRAHIMA;1994;7
1;BRAHIMA;1995;9
1;BRAHIMA;1996;6
1;BRAHIMA;1997;10
1;BRAHIMA;1998;4
1;BRAHIMA;1999;4
1;BRAHIMA;2000;11
1;BRAHIMA;2001;4
1;BRAHIMA;2002;9
1;BRAHIMA;2003;4
1;BRAHIMA;2004;7
1;BRAHIMA;2005;3
1;BRAHIMA;2006;6
1;BRAHIMA;2007;4
1;BRAHIMA;2008;7
1;BRAHIMA;2010;6
1;BRAHIMA;2011;4
1;BRAHIMA;2012;4
1;BRAHIMA;2013;4
1;BRAHIMA;2014;5
1;BRAHIMA;2015;6
1;BRAHIMA;2016;4
1;BRAHIMA;2017;5
1;BRAHIMA;2018;4
1;BRAHIMA;2019;4
1;BRAHIMA;2020;4
1;BRAHIMA;2021;5
1;BRAHIMA;2022;4
1;BRAHIMA;XXXX;11
