sexe;preusuel;annais;nombre
1;MICHA;1978;3
1;MICHA;1980;3
1;MICHA;1981;3
1;MICHA;1984;3
1;MICHA;1987;3
1;MICHA;1988;7
1;MICHA;1990;3
1;MICHA;1994;4
1;MICHA;1995;4
1;MICHA;1996;3
1;MICHA;1998;4
1;MICHA;2000;4
1;MICHA;2001;5
1;MICHA;2002;4
1;MICHA;2003;7
1;MICHA;2004;7
1;MICHA;2005;14
1;MICHA;2006;6
1;MICHA;2007;3
1;MICHA;2009;4
1;MICHA;2010;5
1;MICHA;2011;7
1;MICHA;2012;6
1;MICHA;2013;8
1;MICHA;2014;6
1;MICHA;2015;10
1;MICHA;2016;4
1;MICHA;2017;7
1;MICHA;2018;6
1;MICHA;2019;15
1;MICHA;2020;6
1;MICHA;2021;10
1;MICHA;2022;4
1;MICHA;XXXX;27
