sexe;preusuel;annais;nombre
1;FATIH;1965;3
1;FATIH;1969;5
1;FATIH;1970;3
1;FATIH;1971;6
1;FATIH;1973;8
1;FATIH;1974;5
1;FATIH;1975;11
1;FATIH;1976;17
1;FATIH;1977;15
1;FATIH;1978;25
1;FATIH;1979;26
1;FATIH;1980;28
1;FATIH;1981;40
1;FATIH;1982;45
1;FATIH;1983;44
1;FATIH;1984;51
1;FATIH;1985;60
1;FATIH;1986;43
1;FATIH;1987;46
1;FATIH;1988;59
1;FATIH;1989;53
1;FATIH;1990;73
1;FATIH;1991;68
1;FATIH;1992;80
1;FATIH;1993;89
1;FATIH;1994;66
1;FATIH;1995;49
1;FATIH;1996;60
1;FATIH;1997;82
1;FATIH;1998;81
1;FATIH;1999;61
1;FATIH;2000;66
1;FATIH;2001;56
1;FATIH;2002;52
1;FATIH;2003;42
1;FATIH;2004;28
1;FATIH;2005;29
1;FATIH;2006;37
1;FATIH;2007;50
1;FATIH;2008;29
1;FATIH;2009;38
1;FATIH;2010;33
1;FATIH;2011;23
1;FATIH;2012;34
1;FATIH;2013;33
1;FATIH;2014;36
1;FATIH;2015;28
1;FATIH;2016;29
1;FATIH;2017;26
1;FATIH;2018;22
1;FATIH;2019;21
1;FATIH;2020;16
1;FATIH;2021;15
1;FATIH;2022;16
1;FATIH;XXXX;11
