sexe;preusuel;annais;nombre
2;ASLI;1977;7
2;ASLI;1980;4
2;ASLI;1981;9
2;ASLI;1983;3
2;ASLI;1984;4
2;ASLI;1985;4
2;ASLI;1986;5
2;ASLI;1987;4
2;ASLI;1988;5
2;ASLI;1990;7
2;ASLI;1991;7
2;ASLI;1992;10
2;ASLI;1993;10
2;ASLI;1994;7
2;ASLI;1995;14
2;ASLI;1996;14
2;ASLI;1997;12
2;ASLI;1998;16
2;ASLI;1999;16
2;ASLI;2000;11
2;ASLI;2001;12
2;ASLI;2002;10
2;ASLI;2003;20
2;ASLI;2004;23
2;ASLI;2005;14
2;ASLI;2006;13
2;ASLI;2007;20
2;ASLI;2008;17
2;ASLI;2009;12
2;ASLI;2010;18
2;ASLI;2011;18
2;ASLI;2012;16
2;ASLI;2013;11
2;ASLI;2014;20
2;ASLI;2015;7
2;ASLI;2016;18
2;ASLI;2017;13
2;ASLI;2018;13
2;ASLI;2019;8
2;ASLI;2020;19
2;ASLI;2021;17
2;ASLI;2022;14
2;ASLI;XXXX;8
