sexe;preusuel;annais;nombre
2;ARMANDE;1900;170
2;ARMANDE;1901;183
2;ARMANDE;1902;193
2;ARMANDE;1903;188
2;ARMANDE;1904;211
2;ARMANDE;1905;243
2;ARMANDE;1906;259
2;ARMANDE;1907;234
2;ARMANDE;1908;235
2;ARMANDE;1909;232
2;ARMANDE;1910;298
2;ARMANDE;1911;263
2;ARMANDE;1912;277
2;ARMANDE;1913;309
2;ARMANDE;1914;258
2;ARMANDE;1915;217
2;ARMANDE;1916;164
2;ARMANDE;1917;181
2;ARMANDE;1918;196
2;ARMANDE;1919;191
2;ARMANDE;1920;334
2;ARMANDE;1921;324
2;ARMANDE;1922;293
2;ARMANDE;1923;287
2;ARMANDE;1924;246
2;ARMANDE;1925;235
2;ARMANDE;1926;240
2;ARMANDE;1927;229
2;ARMANDE;1928;208
2;ARMANDE;1929;227
2;ARMANDE;1930;237
2;ARMANDE;1931;197
2;ARMANDE;1932;214
2;ARMANDE;1933;169
2;ARMANDE;1934;156
2;ARMANDE;1935;186
2;ARMANDE;1936;195
2;ARMANDE;1937;132
2;ARMANDE;1938;129
2;ARMANDE;1939;132
2;ARMANDE;1940;118
2;ARMANDE;1941;81
2;ARMANDE;1942;87
2;ARMANDE;1943;77
2;ARMANDE;1944;78
2;ARMANDE;1945;84
2;ARMANDE;1946;117
2;ARMANDE;1947;114
2;ARMANDE;1948;95
2;ARMANDE;1949;96
2;ARMANDE;1950;84
2;ARMANDE;1951;86
2;ARMANDE;1952;82
2;ARMANDE;1953;71
2;ARMANDE;1954;67
2;ARMANDE;1955;63
2;ARMANDE;1956;75
2;ARMANDE;1957;51
2;ARMANDE;1958;57
2;ARMANDE;1959;56
2;ARMANDE;1960;53
2;ARMANDE;1961;23
2;ARMANDE;1962;46
2;ARMANDE;1963;25
2;ARMANDE;1964;37
2;ARMANDE;1965;33
2;ARMANDE;1966;35
2;ARMANDE;1967;32
2;ARMANDE;1968;23
2;ARMANDE;1969;19
2;ARMANDE;1970;20
2;ARMANDE;1971;16
2;ARMANDE;1972;12
2;ARMANDE;1973;12
2;ARMANDE;1974;10
2;ARMANDE;1975;12
2;ARMANDE;1976;3
2;ARMANDE;1977;6
2;ARMANDE;1978;4
2;ARMANDE;1979;7
2;ARMANDE;1980;5
2;ARMANDE;1981;4
2;ARMANDE;1982;7
2;ARMANDE;1983;7
2;ARMANDE;1984;4
2;ARMANDE;1985;4
2;ARMANDE;1986;3
2;ARMANDE;1987;7
2;ARMANDE;1988;5
2;ARMANDE;1989;5
2;ARMANDE;1990;9
2;ARMANDE;1991;3
2;ARMANDE;1992;3
2;ARMANDE;1993;8
2;ARMANDE;1994;3
2;ARMANDE;1995;11
2;ARMANDE;1996;5
2;ARMANDE;1997;5
2;ARMANDE;1998;4
2;ARMANDE;1999;10
2;ARMANDE;2001;6
2;ARMANDE;2002;4
2;ARMANDE;2003;6
2;ARMANDE;2004;4
2;ARMANDE;2005;4
2;ARMANDE;2006;4
2;ARMANDE;2009;3
2;ARMANDE;2010;5
2;ARMANDE;2011;3
2;ARMANDE;2016;3
2;ARMANDE;XXXX;11
