sexe;preusuel;annais;nombre
2;ELEANA;1987;3
2;ELEANA;1988;3
2;ELEANA;1993;4
2;ELEANA;1994;7
2;ELEANA;1995;5
2;ELEANA;1996;11
2;ELEANA;1997;5
2;ELEANA;1998;9
2;ELEANA;1999;14
2;ELEANA;2000;15
2;ELEANA;2001;19
2;ELEANA;2002;15
2;ELEANA;2003;36
2;ELEANA;2004;52
2;ELEANA;2005;44
2;ELEANA;2006;58
2;ELEANA;2007;59
2;ELEANA;2008;81
2;ELEANA;2009;92
2;ELEANA;2010;114
2;ELEANA;2011;55
2;ELEANA;2012;47
2;ELEANA;2013;51
2;ELEANA;2014;52
2;ELEANA;2015;42
2;ELEANA;2016;39
2;ELEANA;2017;47
2;ELEANA;2018;46
2;ELEANA;2019;38
2;ELEANA;2020;22
2;ELEANA;2021;29
2;ELEANA;2022;16
2;ELEANA;XXXX;13
