sexe;preusuel;annais;nombre
1;AMMAR;1953;3
1;AMMAR;1955;3
1;AMMAR;1958;3
1;AMMAR;1959;3
1;AMMAR;1961;6
1;AMMAR;1962;4
1;AMMAR;1963;7
1;AMMAR;1964;9
1;AMMAR;1965;9
1;AMMAR;1966;12
1;AMMAR;1967;6
1;AMMAR;1968;6
1;AMMAR;1969;6
1;AMMAR;1970;4
1;AMMAR;1971;4
1;AMMAR;1972;3
1;AMMAR;1973;6
1;AMMAR;1974;3
1;AMMAR;1975;4
1;AMMAR;1976;5
1;AMMAR;1977;4
1;AMMAR;1978;6
1;AMMAR;1979;4
1;AMMAR;1980;4
1;AMMAR;1981;8
1;AMMAR;1982;7
1;AMMAR;1983;4
1;AMMAR;1984;6
1;AMMAR;1985;5
1;AMMAR;1986;6
1;AMMAR;1987;7
1;AMMAR;1988;5
1;AMMAR;1989;7
1;AMMAR;1990;8
1;AMMAR;1991;11
1;AMMAR;1992;4
1;AMMAR;1993;7
1;AMMAR;1994;6
1;AMMAR;1995;9
1;AMMAR;1997;5
1;AMMAR;1998;7
1;AMMAR;1999;4
1;AMMAR;2000;7
1;AMMAR;2001;6
1;AMMAR;2002;6
1;AMMAR;2003;8
1;AMMAR;2004;7
1;AMMAR;2005;16
1;AMMAR;2006;13
1;AMMAR;2007;14
1;AMMAR;2008;11
1;AMMAR;2009;12
1;AMMAR;2010;18
1;AMMAR;2011;13
1;AMMAR;2012;12
1;AMMAR;2013;29
1;AMMAR;2014;21
1;AMMAR;2015;23
1;AMMAR;2016;20
1;AMMAR;2017;13
1;AMMAR;2018;29
1;AMMAR;2019;20
1;AMMAR;2020;24
1;AMMAR;2021;27
1;AMMAR;2022;22
1;AMMAR;XXXX;13
