sexe;preusuel;annais;nombre
1;HENDRIK;1927;3
1;HENDRIK;1930;3
1;HENDRIK;1949;3
1;HENDRIK;1950;3
1;HENDRIK;1953;3
1;HENDRIK;1961;3
1;HENDRIK;1964;3
1;HENDRIK;1972;3
1;HENDRIK;1975;4
1;HENDRIK;1977;3
1;HENDRIK;1978;3
1;HENDRIK;1980;5
1;HENDRIK;1981;3
1;HENDRIK;1982;5
1;HENDRIK;1983;7
1;HENDRIK;1984;3
1;HENDRIK;1985;9
1;HENDRIK;1986;7
1;HENDRIK;1987;4
1;HENDRIK;1988;5
1;HENDRIK;1990;4
1;HENDRIK;1991;5
1;HENDRIK;1992;3
1;HENDRIK;1993;4
1;HENDRIK;1994;3
1;HENDRIK;1997;4
1;HENDRIK;1998;3
1;HENDRIK;2000;4
1;HENDRIK;2001;4
1;HENDRIK;2009;4
1;HENDRIK;2011;4
1;HENDRIK;2022;3
1;HENDRIK;XXXX;64
