sexe;preusuel;annais;nombre
2;NORMA;1902;4
2;NORMA;1903;4
2;NORMA;1906;3
2;NORMA;1910;3
2;NORMA;1911;3
2;NORMA;1912;5
2;NORMA;1913;4
2;NORMA;1914;6
2;NORMA;1920;4
2;NORMA;1921;4
2;NORMA;1922;7
2;NORMA;1923;7
2;NORMA;1924;19
2;NORMA;1925;14
2;NORMA;1926;26
2;NORMA;1927;12
2;NORMA;1928;26
2;NORMA;1929;16
2;NORMA;1930;18
2;NORMA;1931;26
2;NORMA;1932;19
2;NORMA;1933;13
2;NORMA;1934;15
2;NORMA;1935;20
2;NORMA;1936;8
2;NORMA;1937;12
2;NORMA;1938;14
2;NORMA;1939;16
2;NORMA;1940;7
2;NORMA;1941;5
2;NORMA;1942;3
2;NORMA;1943;4
2;NORMA;1944;5
2;NORMA;1945;4
2;NORMA;1946;6
2;NORMA;1947;4
2;NORMA;1948;9
2;NORMA;1949;7
2;NORMA;1950;6
2;NORMA;1951;7
2;NORMA;1952;9
2;NORMA;1953;7
2;NORMA;1954;3
2;NORMA;1956;4
2;NORMA;1957;8
2;NORMA;1958;11
2;NORMA;1959;6
2;NORMA;1960;6
2;NORMA;1961;6
2;NORMA;1963;5
2;NORMA;1964;6
2;NORMA;1965;7
2;NORMA;1966;3
2;NORMA;1967;5
2;NORMA;1969;5
2;NORMA;1970;7
2;NORMA;1971;5
2;NORMA;1972;4
2;NORMA;1975;5
2;NORMA;1979;9
2;NORMA;1981;4
2;NORMA;1982;3
2;NORMA;1983;5
2;NORMA;1984;4
2;NORMA;1985;9
2;NORMA;1986;5
2;NORMA;1987;9
2;NORMA;1988;10
2;NORMA;1989;6
2;NORMA;1990;7
2;NORMA;1991;12
2;NORMA;1992;10
2;NORMA;1993;4
2;NORMA;1994;9
2;NORMA;1995;7
2;NORMA;1996;5
2;NORMA;1997;4
2;NORMA;1998;6
2;NORMA;1999;6
2;NORMA;2000;7
2;NORMA;2001;13
2;NORMA;2002;5
2;NORMA;2003;8
2;NORMA;2004;3
2;NORMA;2005;5
2;NORMA;2006;4
2;NORMA;2007;6
2;NORMA;2008;4
2;NORMA;2009;6
2;NORMA;2010;4
2;NORMA;2011;8
2;NORMA;2012;6
2;NORMA;2013;7
2;NORMA;2014;4
2;NORMA;2015;8
2;NORMA;2016;9
2;NORMA;2017;10
2;NORMA;2018;8
2;NORMA;2019;3
2;NORMA;2020;6
2;NORMA;2021;4
2;NORMA;2022;11
2;NORMA;XXXX;24
