sexe;preusuel;annais;nombre
2;SYLVIE;1900;129
2;SYLVIE;1901;134
2;SYLVIE;1902;108
2;SYLVIE;1903;120
2;SYLVIE;1904;124
2;SYLVIE;1905;124
2;SYLVIE;1906;113
2;SYLVIE;1907;119
2;SYLVIE;1908;110
2;SYLVIE;1909;112
2;SYLVIE;1910;95
2;SYLVIE;1911;94
2;SYLVIE;1912;99
2;SYLVIE;1913;104
2;SYLVIE;1914;119
2;SYLVIE;1915;61
2;SYLVIE;1916;39
2;SYLVIE;1917;54
2;SYLVIE;1918;50
2;SYLVIE;1919;64
2;SYLVIE;1920;103
2;SYLVIE;1921;80
2;SYLVIE;1922;89
2;SYLVIE;1923;100
2;SYLVIE;1924;101
2;SYLVIE;1925;98
2;SYLVIE;1926;92
2;SYLVIE;1927;92
2;SYLVIE;1928;91
2;SYLVIE;1929;89
2;SYLVIE;1930;105
2;SYLVIE;1931;105
2;SYLVIE;1932;128
2;SYLVIE;1933;112
2;SYLVIE;1934;115
2;SYLVIE;1935;105
2;SYLVIE;1936;106
2;SYLVIE;1937;116
2;SYLVIE;1938;132
2;SYLVIE;1939;125
2;SYLVIE;1940;138
2;SYLVIE;1941;158
2;SYLVIE;1942;167
2;SYLVIE;1943;260
2;SYLVIE;1944;303
2;SYLVIE;1945;445
2;SYLVIE;1946;797
2;SYLVIE;1947;1001
2;SYLVIE;1948;1175
2;SYLVIE;1949;1514
2;SYLVIE;1950;2194
2;SYLVIE;1951;2747
2;SYLVIE;1952;3585
2;SYLVIE;1953;4453
2;SYLVIE;1954;4991
2;SYLVIE;1955;6880
2;SYLVIE;1956;8472
2;SYLVIE;1957;11034
2;SYLVIE;1958;13224
2;SYLVIE;1959;15447
2;SYLVIE;1960;17656
2;SYLVIE;1961;19195
2;SYLVIE;1962;20823
2;SYLVIE;1963;25669
2;SYLVIE;1964;27551
2;SYLVIE;1965;24640
2;SYLVIE;1966;20313
2;SYLVIE;1967;17317
2;SYLVIE;1968;17145
2;SYLVIE;1969;14463
2;SYLVIE;1970;12388
2;SYLVIE;1971;10600
2;SYLVIE;1972;9490
2;SYLVIE;1973;7752
2;SYLVIE;1974;6160
2;SYLVIE;1975;4785
2;SYLVIE;1976;4232
2;SYLVIE;1977;3618
2;SYLVIE;1978;2847
2;SYLVIE;1979;2668
2;SYLVIE;1980;2122
2;SYLVIE;1981;1796
2;SYLVIE;1982;1499
2;SYLVIE;1983;1149
2;SYLVIE;1984;920
2;SYLVIE;1985;713
2;SYLVIE;1986;562
2;SYLVIE;1987;464
2;SYLVIE;1988;400
2;SYLVIE;1989;325
2;SYLVIE;1990;302
2;SYLVIE;1991;283
2;SYLVIE;1992;255
2;SYLVIE;1993;168
2;SYLVIE;1994;158
2;SYLVIE;1995;134
2;SYLVIE;1996;121
2;SYLVIE;1997;102
2;SYLVIE;1998;97
2;SYLVIE;1999;96
2;SYLVIE;2000;82
2;SYLVIE;2001;63
2;SYLVIE;2002;60
2;SYLVIE;2003;52
2;SYLVIE;2004;51
2;SYLVIE;2005;32
2;SYLVIE;2006;34
2;SYLVIE;2007;27
2;SYLVIE;2008;32
2;SYLVIE;2009;24
2;SYLVIE;2010;27
2;SYLVIE;2011;18
2;SYLVIE;2012;20
2;SYLVIE;2013;17
2;SYLVIE;2014;13
2;SYLVIE;2015;16
2;SYLVIE;2016;17
2;SYLVIE;2017;7
2;SYLVIE;2018;13
2;SYLVIE;2019;5
2;SYLVIE;2020;7
2;SYLVIE;2021;10
2;SYLVIE;2022;9
