sexe;preusuel;annais;nombre
2;LIDIA;1900;5
2;LIDIA;1902;3
2;LIDIA;1904;13
2;LIDIA;1906;12
2;LIDIA;1907;5
2;LIDIA;1908;5
2;LIDIA;1909;3
2;LIDIA;1910;6
2;LIDIA;1912;6
2;LIDIA;1913;9
2;LIDIA;1914;7
2;LIDIA;1917;6
2;LIDIA;1920;3
2;LIDIA;1921;8
2;LIDIA;1922;9
2;LIDIA;1923;17
2;LIDIA;1924;25
2;LIDIA;1925;25
2;LIDIA;1926;24
2;LIDIA;1927;31
2;LIDIA;1928;32
2;LIDIA;1929;24
2;LIDIA;1930;20
2;LIDIA;1931;22
2;LIDIA;1932;16
2;LIDIA;1933;19
2;LIDIA;1934;24
2;LIDIA;1935;20
2;LIDIA;1936;20
2;LIDIA;1937;20
2;LIDIA;1938;13
2;LIDIA;1939;15
2;LIDIA;1940;11
2;LIDIA;1941;13
2;LIDIA;1942;8
2;LIDIA;1943;10
2;LIDIA;1944;7
2;LIDIA;1945;11
2;LIDIA;1946;11
2;LIDIA;1947;15
2;LIDIA;1948;18
2;LIDIA;1949;20
2;LIDIA;1950;13
2;LIDIA;1951;19
2;LIDIA;1952;21
2;LIDIA;1953;18
2;LIDIA;1954;12
2;LIDIA;1955;23
2;LIDIA;1956;22
2;LIDIA;1957;27
2;LIDIA;1958;18
2;LIDIA;1959;30
2;LIDIA;1960;31
2;LIDIA;1961;32
2;LIDIA;1962;32
2;LIDIA;1963;35
2;LIDIA;1964;38
2;LIDIA;1965;31
2;LIDIA;1966;32
2;LIDIA;1967;31
2;LIDIA;1968;45
2;LIDIA;1969;36
2;LIDIA;1970;43
2;LIDIA;1971;52
2;LIDIA;1972;42
2;LIDIA;1973;34
2;LIDIA;1974;40
2;LIDIA;1975;32
2;LIDIA;1976;30
2;LIDIA;1977;28
2;LIDIA;1978;34
2;LIDIA;1979;28
2;LIDIA;1980;29
2;LIDIA;1981;29
2;LIDIA;1982;21
2;LIDIA;1983;22
2;LIDIA;1984;14
2;LIDIA;1985;16
2;LIDIA;1986;21
2;LIDIA;1987;19
2;LIDIA;1988;16
2;LIDIA;1989;17
2;LIDIA;1990;10
2;LIDIA;1991;11
2;LIDIA;1992;18
2;LIDIA;1993;12
2;LIDIA;1994;19
2;LIDIA;1995;14
2;LIDIA;1996;12
2;LIDIA;1997;9
2;LIDIA;1998;14
2;LIDIA;1999;11
2;LIDIA;2000;16
2;LIDIA;2001;17
2;LIDIA;2002;16
2;LIDIA;2003;12
2;LIDIA;2004;22
2;LIDIA;2005;15
2;LIDIA;2006;13
2;LIDIA;2007;20
2;LIDIA;2008;17
2;LIDIA;2009;12
2;LIDIA;2010;15
2;LIDIA;2011;16
2;LIDIA;2012;15
2;LIDIA;2013;18
2;LIDIA;2014;19
2;LIDIA;2015;21
2;LIDIA;2016;25
2;LIDIA;2017;18
2;LIDIA;2018;25
2;LIDIA;2019;18
2;LIDIA;2020;11
2;LIDIA;2021;17
2;LIDIA;2022;12
2;LIDIA;XXXX;9
