sexe;preusuel;annais;nombre
1;FRANÇOIS-GUILLAUME;1970;5
1;FRANÇOIS-GUILLAUME;1972;5
1;FRANÇOIS-GUILLAUME;1973;3
1;FRANÇOIS-GUILLAUME;1974;3
1;FRANÇOIS-GUILLAUME;1976;3
1;FRANÇOIS-GUILLAUME;1977;4
1;FRANÇOIS-GUILLAUME;1979;5
1;FRANÇOIS-GUILLAUME;1980;4
1;FRANÇOIS-GUILLAUME;1981;9
1;FRANÇOIS-GUILLAUME;1982;6
1;FRANÇOIS-GUILLAUME;1984;5
1;FRANÇOIS-GUILLAUME;1985;5
1;FRANÇOIS-GUILLAUME;1986;3
1;FRANÇOIS-GUILLAUME;1987;3
1;FRANÇOIS-GUILLAUME;1989;3
1;FRANÇOIS-GUILLAUME;1990;4
1;FRANÇOIS-GUILLAUME;1991;4
1;FRANÇOIS-GUILLAUME;1992;3
1;FRANÇOIS-GUILLAUME;1994;5
1;FRANÇOIS-GUILLAUME;1995;5
1;FRANÇOIS-GUILLAUME;1998;5
1;FRANÇOIS-GUILLAUME;1999;5
1;FRANÇOIS-GUILLAUME;XXXX;23
