sexe;preusuel;annais;nombre
1;ENES;1979;3
1;ENES;1981;3
1;ENES;1987;3
1;ENES;1988;4
1;ENES;1990;11
1;ENES;1991;11
1;ENES;1992;16
1;ENES;1993;14
1;ENES;1994;18
1;ENES;1995;24
1;ENES;1996;26
1;ENES;1997;43
1;ENES;1998;61
1;ENES;1999;70
1;ENES;2000;75
1;ENES;2001;75
1;ENES;2002;96
1;ENES;2003;86
1;ENES;2004;142
1;ENES;2005;132
1;ENES;2006;158
1;ENES;2007;161
1;ENES;2008;166
1;ENES;2009;183
1;ENES;2010;196
1;ENES;2011;158
1;ENES;2012;197
1;ENES;2013;183
1;ENES;2014;167
1;ENES;2015;136
1;ENES;2016;147
1;ENES;2017;153
1;ENES;2018;128
1;ENES;2019;118
1;ENES;2020;141
1;ENES;2021;115
1;ENES;2022;130
1;ENES;XXXX;8
