sexe;preusuel;annais;nombre
2;LOÏS;1958;6
2;LOÏS;1972;4
2;LOÏS;1976;4
2;LOÏS;1977;3
2;LOÏS;1979;6
2;LOÏS;1981;6
2;LOÏS;1982;4
2;LOÏS;1983;3
2;LOÏS;1984;8
2;LOÏS;1985;7
2;LOÏS;1986;8
2;LOÏS;1987;7
2;LOÏS;1988;12
2;LOÏS;1989;11
2;LOÏS;1990;16
2;LOÏS;1991;8
2;LOÏS;1992;16
2;LOÏS;1993;15
2;LOÏS;1994;36
2;LOÏS;1995;63
2;LOÏS;1996;111
2;LOÏS;1997;103
2;LOÏS;1998;143
2;LOÏS;1999;171
2;LOÏS;2000;143
2;LOÏS;2001;115
2;LOÏS;2002;118
2;LOÏS;2003;114
2;LOÏS;2004;118
2;LOÏS;2005;99
2;LOÏS;2006;132
2;LOÏS;2007;131
2;LOÏS;2008;124
2;LOÏS;2009;95
2;LOÏS;2010;80
2;LOÏS;2011;83
2;LOÏS;2012;107
2;LOÏS;2013;135
2;LOÏS;2014;123
2;LOÏS;2015;109
2;LOÏS;2016;120
2;LOÏS;2017;127
2;LOÏS;2018;124
2;LOÏS;2019;104
2;LOÏS;2020;115
2;LOÏS;2021;118
2;LOÏS;2022;85
2;LOÏS;XXXX;26
