sexe;preusuel;annais;nombre
1;KAMAL;1950;3
1;KAMAL;1952;5
1;KAMAL;1953;7
1;KAMAL;1954;12
1;KAMAL;1955;12
1;KAMAL;1956;14
1;KAMAL;1957;19
1;KAMAL;1958;15
1;KAMAL;1959;20
1;KAMAL;1960;18
1;KAMAL;1961;37
1;KAMAL;1962;39
1;KAMAL;1963;36
1;KAMAL;1964;28
1;KAMAL;1965;55
1;KAMAL;1966;51
1;KAMAL;1967;52
1;KAMAL;1968;59
1;KAMAL;1969;58
1;KAMAL;1970;59
1;KAMAL;1971;59
1;KAMAL;1972;53
1;KAMAL;1973;70
1;KAMAL;1974;77
1;KAMAL;1975;92
1;KAMAL;1976;104
1;KAMAL;1977;109
1;KAMAL;1978;105
1;KAMAL;1979;111
1;KAMAL;1980;135
1;KAMAL;1981;139
1;KAMAL;1982;132
1;KAMAL;1983;117
1;KAMAL;1984;96
1;KAMAL;1985;92
1;KAMAL;1986;69
1;KAMAL;1987;74
1;KAMAL;1988;66
1;KAMAL;1989;45
1;KAMAL;1990;59
1;KAMAL;1991;42
1;KAMAL;1992;37
1;KAMAL;1993;34
1;KAMAL;1994;34
1;KAMAL;1995;29
1;KAMAL;1996;21
1;KAMAL;1997;23
1;KAMAL;1998;23
1;KAMAL;1999;15
1;KAMAL;2000;16
1;KAMAL;2001;8
1;KAMAL;2002;7
1;KAMAL;2003;15
1;KAMAL;2004;11
1;KAMAL;2005;10
1;KAMAL;2006;6
1;KAMAL;2007;9
1;KAMAL;2008;10
1;KAMAL;2009;6
1;KAMAL;2010;7
1;KAMAL;2011;9
1;KAMAL;2012;16
1;KAMAL;2013;13
1;KAMAL;2014;12
1;KAMAL;2015;24
1;KAMAL;2016;21
1;KAMAL;2017;15
1;KAMAL;2018;19
1;KAMAL;2019;11
1;KAMAL;2020;11
1;KAMAL;2021;20
1;KAMAL;2022;11
1;KAMAL;XXXX;9
