sexe;preusuel;annais;nombre
1;CYRIL;1911;3
1;CYRIL;1918;3
1;CYRIL;1925;3
1;CYRIL;1926;4
1;CYRIL;1927;4
1;CYRIL;1928;3
1;CYRIL;1931;3
1;CYRIL;1934;3
1;CYRIL;1939;3
1;CYRIL;1940;3
1;CYRIL;1941;3
1;CYRIL;1942;4
1;CYRIL;1944;5
1;CYRIL;1945;8
1;CYRIL;1946;5
1;CYRIL;1947;6
1;CYRIL;1948;3
1;CYRIL;1949;8
1;CYRIL;1950;13
1;CYRIL;1951;7
1;CYRIL;1952;11
1;CYRIL;1953;12
1;CYRIL;1954;18
1;CYRIL;1955;9
1;CYRIL;1956;23
1;CYRIL;1957;44
1;CYRIL;1958;59
1;CYRIL;1959;78
1;CYRIL;1960;66
1;CYRIL;1961;92
1;CYRIL;1962;119
1;CYRIL;1963;111
1;CYRIL;1964;167
1;CYRIL;1965;289
1;CYRIL;1966;407
1;CYRIL;1967;594
1;CYRIL;1968;922
1;CYRIL;1969;1209
1;CYRIL;1970;2036
1;CYRIL;1971;3044
1;CYRIL;1972;4255
1;CYRIL;1973;4499
1;CYRIL;1974;4261
1;CYRIL;1975;3597
1;CYRIL;1976;3649
1;CYRIL;1977;3457
1;CYRIL;1978;3445
1;CYRIL;1979;3600
1;CYRIL;1980;3683
1;CYRIL;1981;3580
1;CYRIL;1982;3334
1;CYRIL;1983;3047
1;CYRIL;1984;2643
1;CYRIL;1985;2794
1;CYRIL;1986;2851
1;CYRIL;1987;2969
1;CYRIL;1988;2716
1;CYRIL;1989;2203
1;CYRIL;1990;2041
1;CYRIL;1991;1878
1;CYRIL;1992;1725
1;CYRIL;1993;1594
1;CYRIL;1994;1461
1;CYRIL;1995;1344
1;CYRIL;1996;1092
1;CYRIL;1997;977
1;CYRIL;1998;878
1;CYRIL;1999;719
1;CYRIL;2000;698
1;CYRIL;2001;545
1;CYRIL;2002;499
1;CYRIL;2003;483
1;CYRIL;2004;357
1;CYRIL;2005;336
1;CYRIL;2006;294
1;CYRIL;2007;230
1;CYRIL;2008;187
1;CYRIL;2009;165
1;CYRIL;2010;157
1;CYRIL;2011;154
1;CYRIL;2012;100
1;CYRIL;2013;87
1;CYRIL;2014;75
1;CYRIL;2015;77
1;CYRIL;2016;47
1;CYRIL;2017;48
1;CYRIL;2018;38
1;CYRIL;2019;42
1;CYRIL;2020;27
1;CYRIL;2021;20
1;CYRIL;2022;23
1;CYRIL;XXXX;44
