sexe;preusuel;annais;nombre
2;ESMERALDA;1910;3
2;ESMERALDA;1911;3
2;ESMERALDA;1918;3
2;ESMERALDA;1926;3
2;ESMERALDA;1930;3
2;ESMERALDA;1932;3
2;ESMERALDA;1933;3
2;ESMERALDA;1945;4
2;ESMERALDA;1946;3
2;ESMERALDA;1948;5
2;ESMERALDA;1949;3
2;ESMERALDA;1950;4
2;ESMERALDA;1951;10
2;ESMERALDA;1952;4
2;ESMERALDA;1953;3
2;ESMERALDA;1954;6
2;ESMERALDA;1955;6
2;ESMERALDA;1956;10
2;ESMERALDA;1957;6
2;ESMERALDA;1958;9
2;ESMERALDA;1959;10
2;ESMERALDA;1960;14
2;ESMERALDA;1961;14
2;ESMERALDA;1962;16
2;ESMERALDA;1963;9
2;ESMERALDA;1964;17
2;ESMERALDA;1965;17
2;ESMERALDA;1966;15
2;ESMERALDA;1967;16
2;ESMERALDA;1968;11
2;ESMERALDA;1969;12
2;ESMERALDA;1970;15
2;ESMERALDA;1971;23
2;ESMERALDA;1972;20
2;ESMERALDA;1973;25
2;ESMERALDA;1974;32
2;ESMERALDA;1975;20
2;ESMERALDA;1976;34
2;ESMERALDA;1977;23
2;ESMERALDA;1978;36
2;ESMERALDA;1979;30
2;ESMERALDA;1980;30
2;ESMERALDA;1981;17
2;ESMERALDA;1982;31
2;ESMERALDA;1983;24
2;ESMERALDA;1984;26
2;ESMERALDA;1985;20
2;ESMERALDA;1986;28
2;ESMERALDA;1987;16
2;ESMERALDA;1988;27
2;ESMERALDA;1989;22
2;ESMERALDA;1990;23
2;ESMERALDA;1991;24
2;ESMERALDA;1992;21
2;ESMERALDA;1993;12
2;ESMERALDA;1994;16
2;ESMERALDA;1995;15
2;ESMERALDA;1996;12
2;ESMERALDA;1997;13
2;ESMERALDA;1998;27
2;ESMERALDA;1999;63
2;ESMERALDA;2000;35
2;ESMERALDA;2001;35
2;ESMERALDA;2002;26
2;ESMERALDA;2003;19
2;ESMERALDA;2004;17
2;ESMERALDA;2005;28
2;ESMERALDA;2006;24
2;ESMERALDA;2007;23
2;ESMERALDA;2008;15
2;ESMERALDA;2009;17
2;ESMERALDA;2010;13
2;ESMERALDA;2011;9
2;ESMERALDA;2012;12
2;ESMERALDA;2013;10
2;ESMERALDA;2014;14
2;ESMERALDA;2015;22
2;ESMERALDA;2016;14
2;ESMERALDA;2017;14
2;ESMERALDA;2018;11
2;ESMERALDA;2019;17
2;ESMERALDA;2020;20
2;ESMERALDA;2021;28
2;ESMERALDA;2022;32
2;ESMERALDA;XXXX;46
