sexe;preusuel;annais;nombre
2;MARIE-BRIGITTE;1935;3
2;MARIE-BRIGITTE;1941;4
2;MARIE-BRIGITTE;1943;3
2;MARIE-BRIGITTE;1944;6
2;MARIE-BRIGITTE;1945;6
2;MARIE-BRIGITTE;1946;8
2;MARIE-BRIGITTE;1947;13
2;MARIE-BRIGITTE;1948;15
2;MARIE-BRIGITTE;1949;34
2;MARIE-BRIGITTE;1950;25
2;MARIE-BRIGITTE;1951;31
2;MARIE-BRIGITTE;1952;24
2;MARIE-BRIGITTE;1953;28
2;MARIE-BRIGITTE;1954;52
2;MARIE-BRIGITTE;1955;39
2;MARIE-BRIGITTE;1956;40
2;MARIE-BRIGITTE;1957;36
2;MARIE-BRIGITTE;1958;45
2;MARIE-BRIGITTE;1959;66
2;MARIE-BRIGITTE;1960;45
2;MARIE-BRIGITTE;1961;32
2;MARIE-BRIGITTE;1962;31
2;MARIE-BRIGITTE;1963;19
2;MARIE-BRIGITTE;1964;13
2;MARIE-BRIGITTE;1965;30
2;MARIE-BRIGITTE;1966;15
2;MARIE-BRIGITTE;1967;9
2;MARIE-BRIGITTE;1968;11
2;MARIE-BRIGITTE;1969;7
2;MARIE-BRIGITTE;1970;12
2;MARIE-BRIGITTE;1971;8
2;MARIE-BRIGITTE;1972;4
2;MARIE-BRIGITTE;1973;6
2;MARIE-BRIGITTE;1974;7
2;MARIE-BRIGITTE;1976;5
2;MARIE-BRIGITTE;1977;3
2;MARIE-BRIGITTE;XXXX;33
