sexe;preusuel;annais;nombre
2;CHANTALLE;1933;4
2;CHANTALLE;1935;6
2;CHANTALLE;1936;5
2;CHANTALLE;1937;3
2;CHANTALLE;1939;5
2;CHANTALLE;1940;8
2;CHANTALLE;1941;6
2;CHANTALLE;1942;5
2;CHANTALLE;1943;9
2;CHANTALLE;1944;10
2;CHANTALLE;1945;8
2;CHANTALLE;1946;11
2;CHANTALLE;1947;12
2;CHANTALLE;1948;9
2;CHANTALLE;1949;11
2;CHANTALLE;1950;13
2;CHANTALLE;1951;9
2;CHANTALLE;1952;16
2;CHANTALLE;1953;12
2;CHANTALLE;1954;7
2;CHANTALLE;1955;3
2;CHANTALLE;1957;4
2;CHANTALLE;1958;4
2;CHANTALLE;1959;4
2;CHANTALLE;1960;3
2;CHANTALLE;XXXX;19
