sexe;preusuel;annais;nombre
1;BRUNO;1900;23
1;BRUNO;1901;28
1;BRUNO;1902;34
1;BRUNO;1903;27
1;BRUNO;1904;43
1;BRUNO;1905;26
1;BRUNO;1906;51
1;BRUNO;1907;47
1;BRUNO;1908;41
1;BRUNO;1909;57
1;BRUNO;1910;47
1;BRUNO;1911;48
1;BRUNO;1912;73
1;BRUNO;1913;79
1;BRUNO;1914;76
1;BRUNO;1915;64
1;BRUNO;1916;34
1;BRUNO;1917;37
1;BRUNO;1918;32
1;BRUNO;1919;27
1;BRUNO;1920;55
1;BRUNO;1921;77
1;BRUNO;1922;99
1;BRUNO;1923;121
1;BRUNO;1924;197
1;BRUNO;1925;237
1;BRUNO;1926;242
1;BRUNO;1927;211
1;BRUNO;1928;200
1;BRUNO;1929;202
1;BRUNO;1930;216
1;BRUNO;1931;262
1;BRUNO;1932;283
1;BRUNO;1933;273
1;BRUNO;1934;297
1;BRUNO;1935;311
1;BRUNO;1936;324
1;BRUNO;1937;375
1;BRUNO;1938;426
1;BRUNO;1939;348
1;BRUNO;1940;301
1;BRUNO;1941;370
1;BRUNO;1942;399
1;BRUNO;1943;430
1;BRUNO;1944;449
1;BRUNO;1945;438
1;BRUNO;1946;620
1;BRUNO;1947;747
1;BRUNO;1948;889
1;BRUNO;1949;1133
1;BRUNO;1950;1438
1;BRUNO;1951;1739
1;BRUNO;1952;2040
1;BRUNO;1953;2467
1;BRUNO;1954;3133
1;BRUNO;1955;4054
1;BRUNO;1956;4806
1;BRUNO;1957;5826
1;BRUNO;1958;7509
1;BRUNO;1959;8969
1;BRUNO;1960;9667
1;BRUNO;1961;10816
1;BRUNO;1962;11633
1;BRUNO;1963;12738
1;BRUNO;1964;12241
1;BRUNO;1965;11704
1;BRUNO;1966;10915
1;BRUNO;1967;9616
1;BRUNO;1968;8674
1;BRUNO;1969;7627
1;BRUNO;1970;7359
1;BRUNO;1971;7048
1;BRUNO;1972;5694
1;BRUNO;1973;4431
1;BRUNO;1974;3642
1;BRUNO;1975;3000
1;BRUNO;1976;2514
1;BRUNO;1977;2425
1;BRUNO;1978;2177
1;BRUNO;1979;2098
1;BRUNO;1980;1957
1;BRUNO;1981;1803
1;BRUNO;1982;1867
1;BRUNO;1983;1595
1;BRUNO;1984;1355
1;BRUNO;1985;1331
1;BRUNO;1986;1223
1;BRUNO;1987;1212
1;BRUNO;1988;1012
1;BRUNO;1989;859
1;BRUNO;1990;784
1;BRUNO;1991;645
1;BRUNO;1992;555
1;BRUNO;1993;487
1;BRUNO;1994;454
1;BRUNO;1995;401
1;BRUNO;1996;371
1;BRUNO;1997;412
1;BRUNO;1998;297
1;BRUNO;1999;273
1;BRUNO;2000;282
1;BRUNO;2001;240
1;BRUNO;2002;196
1;BRUNO;2003;176
1;BRUNO;2004;172
1;BRUNO;2005;157
1;BRUNO;2006;126
1;BRUNO;2007;126
1;BRUNO;2008;100
1;BRUNO;2009;100
1;BRUNO;2010;89
1;BRUNO;2011;58
1;BRUNO;2012;69
1;BRUNO;2013;62
1;BRUNO;2014;64
1;BRUNO;2015;58
1;BRUNO;2016;45
1;BRUNO;2017;48
1;BRUNO;2018;48
1;BRUNO;2019;43
1;BRUNO;2020;26
1;BRUNO;2021;41
1;BRUNO;2022;33
