sexe;preusuel;annais;nombre
2;RAFIKA;1961;7
2;RAFIKA;1964;8
2;RAFIKA;1965;3
2;RAFIKA;1966;4
2;RAFIKA;1967;4
2;RAFIKA;1968;4
2;RAFIKA;1969;10
2;RAFIKA;1970;6
2;RAFIKA;1971;8
2;RAFIKA;1972;11
2;RAFIKA;1973;9
2;RAFIKA;1974;8
2;RAFIKA;1975;13
2;RAFIKA;1976;11
2;RAFIKA;1977;14
2;RAFIKA;1978;21
2;RAFIKA;1979;25
2;RAFIKA;1980;23
2;RAFIKA;1981;23
2;RAFIKA;1982;15
2;RAFIKA;1983;20
2;RAFIKA;1984;25
2;RAFIKA;1985;13
2;RAFIKA;1986;15
2;RAFIKA;1987;13
2;RAFIKA;1988;10
2;RAFIKA;1989;7
2;RAFIKA;1990;8
2;RAFIKA;1991;8
2;RAFIKA;1992;5
2;RAFIKA;1995;4
2;RAFIKA;1996;3
2;RAFIKA;2005;3
2;RAFIKA;2012;3
2;RAFIKA;2016;3
2;RAFIKA;XXXX;32
