sexe;preusuel;annais;nombre
1;SPENCER;1984;3
1;SPENCER;1988;3
1;SPENCER;1993;3
1;SPENCER;1995;5
1;SPENCER;1996;3
1;SPENCER;1997;3
1;SPENCER;1998;6
1;SPENCER;1999;3
1;SPENCER;2000;3
1;SPENCER;2001;6
1;SPENCER;2002;3
1;SPENCER;2003;3
1;SPENCER;2004;3
1;SPENCER;2007;5
1;SPENCER;2008;4
1;SPENCER;2009;4
1;SPENCER;2010;5
1;SPENCER;2011;4
1;SPENCER;2012;6
1;SPENCER;2013;11
1;SPENCER;2014;7
1;SPENCER;2015;15
1;SPENCER;2016;10
1;SPENCER;2017;14
1;SPENCER;2018;9
1;SPENCER;2019;15
1;SPENCER;2020;12
1;SPENCER;2021;21
1;SPENCER;2022;26
1;SPENCER;XXXX;30
