sexe;preusuel;annais;nombre
1;PAUL-ANDRÉ;1948;4
1;PAUL-ANDRÉ;1949;5
1;PAUL-ANDRÉ;1950;6
1;PAUL-ANDRÉ;1951;6
1;PAUL-ANDRÉ;1953;6
1;PAUL-ANDRÉ;1954;3
1;PAUL-ANDRÉ;1957;3
1;PAUL-ANDRÉ;1959;3
1;PAUL-ANDRÉ;1961;3
1;PAUL-ANDRÉ;1962;5
1;PAUL-ANDRÉ;1963;4
1;PAUL-ANDRÉ;1964;9
1;PAUL-ANDRÉ;1966;4
1;PAUL-ANDRÉ;1967;6
1;PAUL-ANDRÉ;1969;5
1;PAUL-ANDRÉ;1970;5
1;PAUL-ANDRÉ;1971;10
1;PAUL-ANDRÉ;1973;4
1;PAUL-ANDRÉ;1976;9
1;PAUL-ANDRÉ;1977;3
1;PAUL-ANDRÉ;1978;4
1;PAUL-ANDRÉ;1979;4
1;PAUL-ANDRÉ;1980;8
1;PAUL-ANDRÉ;1982;8
1;PAUL-ANDRÉ;1983;3
1;PAUL-ANDRÉ;1985;3
1;PAUL-ANDRÉ;1986;8
1;PAUL-ANDRÉ;1987;12
1;PAUL-ANDRÉ;1988;5
1;PAUL-ANDRÉ;1989;8
1;PAUL-ANDRÉ;1990;5
1;PAUL-ANDRÉ;1991;8
1;PAUL-ANDRÉ;1992;8
1;PAUL-ANDRÉ;1993;7
1;PAUL-ANDRÉ;1994;5
1;PAUL-ANDRÉ;1995;12
1;PAUL-ANDRÉ;1996;6
1;PAUL-ANDRÉ;1997;8
1;PAUL-ANDRÉ;1998;8
1;PAUL-ANDRÉ;1999;7
1;PAUL-ANDRÉ;2000;9
1;PAUL-ANDRÉ;2001;3
1;PAUL-ANDRÉ;2002;3
1;PAUL-ANDRÉ;2003;4
1;PAUL-ANDRÉ;2004;4
1;PAUL-ANDRÉ;2005;6
1;PAUL-ANDRÉ;2006;6
1;PAUL-ANDRÉ;2007;6
1;PAUL-ANDRÉ;2008;4
1;PAUL-ANDRÉ;2009;3
1;PAUL-ANDRÉ;2010;5
1;PAUL-ANDRÉ;2013;3
1;PAUL-ANDRÉ;2014;3
1;PAUL-ANDRÉ;2015;5
1;PAUL-ANDRÉ;2019;3
1;PAUL-ANDRÉ;XXXX;29
