sexe;preusuel;annais;nombre
2;TELMA;1973;3
2;TELMA;1976;4
2;TELMA;1978;3
2;TELMA;1987;3
2;TELMA;1989;3
2;TELMA;1991;3
2;TELMA;1992;3
2;TELMA;1993;4
2;TELMA;1994;7
2;TELMA;1995;4
2;TELMA;1996;11
2;TELMA;1997;14
2;TELMA;1998;15
2;TELMA;1999;19
2;TELMA;2000;13
2;TELMA;2001;18
2;TELMA;2002;26
2;TELMA;2003;32
2;TELMA;2004;19
2;TELMA;2005;44
2;TELMA;2006;31
2;TELMA;2007;39
2;TELMA;2008;35
2;TELMA;2009;32
2;TELMA;2010;28
2;TELMA;2011;27
2;TELMA;2012;27
2;TELMA;2013;29
2;TELMA;2014;21
2;TELMA;2015;18
2;TELMA;2016;27
2;TELMA;2017;29
2;TELMA;2018;28
2;TELMA;2019;31
2;TELMA;2020;30
2;TELMA;2021;25
2;TELMA;2022;28
2;TELMA;XXXX;21
