sexe;preusuel;annais;nombre
2;ERELL;1973;7
2;ERELL;1974;10
2;ERELL;1975;8
2;ERELL;1976;9
2;ERELL;1977;19
2;ERELL;1978;19
2;ERELL;1979;18
2;ERELL;1980;19
2;ERELL;1981;17
2;ERELL;1982;18
2;ERELL;1983;11
2;ERELL;1984;18
2;ERELL;1985;16
2;ERELL;1986;6
2;ERELL;1987;12
2;ERELL;1988;14
2;ERELL;1989;15
2;ERELL;1990;13
2;ERELL;1991;13
2;ERELL;1992;13
2;ERELL;1993;10
2;ERELL;1994;11
2;ERELL;1995;18
2;ERELL;1996;12
2;ERELL;1997;17
2;ERELL;1998;20
2;ERELL;1999;27
2;ERELL;2000;31
2;ERELL;2001;35
2;ERELL;2002;43
2;ERELL;2003;45
2;ERELL;2004;53
2;ERELL;2005;60
2;ERELL;2006;55
2;ERELL;2007;74
2;ERELL;2008;66
2;ERELL;2009;62
2;ERELL;2010;50
2;ERELL;2011;43
2;ERELL;2012;53
2;ERELL;2013;55
2;ERELL;2014;45
2;ERELL;2015;54
2;ERELL;2016;38
2;ERELL;2017;42
2;ERELL;2018;33
2;ERELL;2019;39
2;ERELL;2020;52
2;ERELL;2021;46
2;ERELL;2022;32
2;ERELL;XXXX;3
