sexe;preusuel;annais;nombre
2;ABY;1980;6
2;ABY;1981;3
2;ABY;1986;6
2;ABY;1989;4
2;ABY;1991;3
2;ABY;1992;3
2;ABY;1993;8
2;ABY;1994;6
2;ABY;1995;11
2;ABY;1996;4
2;ABY;1997;3
2;ABY;1998;3
2;ABY;2000;3
2;ABY;2001;7
2;ABY;2002;6
2;ABY;2003;17
2;ABY;2004;6
2;ABY;2005;23
2;ABY;2006;20
2;ABY;2007;35
2;ABY;2008;30
2;ABY;2009;29
2;ABY;2010;37
2;ABY;2011;53
2;ABY;2012;48
2;ABY;2013;32
2;ABY;2014;48
2;ABY;2015;35
2;ABY;2016;38
2;ABY;2017;47
2;ABY;2018;61
2;ABY;2019;61
2;ABY;2020;52
2;ABY;2021;62
2;ABY;2022;49
2;ABY;XXXX;32
