sexe;preusuel;annais;nombre
1;NOURDINE;1951;3
1;NOURDINE;1952;6
1;NOURDINE;1953;4
1;NOURDINE;1954;6
1;NOURDINE;1955;11
1;NOURDINE;1956;7
1;NOURDINE;1957;21
1;NOURDINE;1958;19
1;NOURDINE;1959;19
1;NOURDINE;1960;19
1;NOURDINE;1961;29
1;NOURDINE;1962;21
1;NOURDINE;1963;37
1;NOURDINE;1964;25
1;NOURDINE;1965;37
1;NOURDINE;1966;41
1;NOURDINE;1967;34
1;NOURDINE;1968;43
1;NOURDINE;1969;48
1;NOURDINE;1970;37
1;NOURDINE;1971;40
1;NOURDINE;1972;47
1;NOURDINE;1973;56
1;NOURDINE;1974;48
1;NOURDINE;1975;61
1;NOURDINE;1976;57
1;NOURDINE;1977;51
1;NOURDINE;1978;72
1;NOURDINE;1979;50
1;NOURDINE;1980;74
1;NOURDINE;1981;41
1;NOURDINE;1982;57
1;NOURDINE;1983;53
1;NOURDINE;1984;39
1;NOURDINE;1985;60
1;NOURDINE;1986;45
1;NOURDINE;1987;30
1;NOURDINE;1988;33
1;NOURDINE;1989;28
1;NOURDINE;1990;26
1;NOURDINE;1991;27
1;NOURDINE;1992;24
1;NOURDINE;1993;25
1;NOURDINE;1994;18
1;NOURDINE;1995;20
1;NOURDINE;1996;18
1;NOURDINE;1997;28
1;NOURDINE;1998;15
1;NOURDINE;1999;17
1;NOURDINE;2000;27
1;NOURDINE;2001;12
1;NOURDINE;2002;10
1;NOURDINE;2003;17
1;NOURDINE;2004;25
1;NOURDINE;2005;9
1;NOURDINE;2006;12
1;NOURDINE;2007;19
1;NOURDINE;2008;13
1;NOURDINE;2009;5
1;NOURDINE;2010;14
1;NOURDINE;2011;10
1;NOURDINE;2012;17
1;NOURDINE;2013;14
1;NOURDINE;2014;14
1;NOURDINE;2015;15
1;NOURDINE;2016;16
1;NOURDINE;2017;18
1;NOURDINE;2018;12
1;NOURDINE;2019;11
1;NOURDINE;2020;11
1;NOURDINE;2021;7
1;NOURDINE;2022;11
1;NOURDINE;XXXX;2
