sexe;preusuel;annais;nombre
1;AKLI;1946;4
1;AKLI;1947;4
1;AKLI;1948;8
1;AKLI;1949;8
1;AKLI;1950;8
1;AKLI;1951;10
1;AKLI;1952;11
1;AKLI;1953;10
1;AKLI;1954;12
1;AKLI;1955;7
1;AKLI;1956;10
1;AKLI;1957;14
1;AKLI;1958;16
1;AKLI;1959;11
1;AKLI;1960;17
1;AKLI;1961;20
1;AKLI;1962;22
1;AKLI;1963;13
1;AKLI;1964;18
1;AKLI;1965;23
1;AKLI;1966;19
1;AKLI;1967;20
1;AKLI;1968;11
1;AKLI;1969;19
1;AKLI;1970;23
1;AKLI;1971;5
1;AKLI;1972;13
1;AKLI;1973;8
1;AKLI;1974;16
1;AKLI;1975;12
1;AKLI;1976;12
1;AKLI;1977;8
1;AKLI;1978;9
1;AKLI;1979;12
1;AKLI;1980;12
1;AKLI;1981;15
1;AKLI;1982;14
1;AKLI;1983;7
1;AKLI;1984;11
1;AKLI;1985;5
1;AKLI;1986;9
1;AKLI;1987;9
1;AKLI;1988;5
1;AKLI;1989;3
1;AKLI;1990;5
1;AKLI;1991;3
1;AKLI;1992;7
1;AKLI;1993;4
1;AKLI;1994;8
1;AKLI;1995;4
1;AKLI;1996;5
1;AKLI;1997;4
1;AKLI;1998;5
1;AKLI;1999;6
1;AKLI;2000;6
1;AKLI;2001;5
1;AKLI;2002;4
1;AKLI;2003;7
1;AKLI;2004;6
1;AKLI;2005;10
1;AKLI;2006;5
1;AKLI;2008;6
1;AKLI;2009;6
1;AKLI;2010;3
1;AKLI;2011;4
1;AKLI;2012;10
1;AKLI;2013;6
1;AKLI;2014;7
1;AKLI;2015;7
1;AKLI;2016;6
1;AKLI;2017;5
1;AKLI;2019;13
1;AKLI;2020;5
1;AKLI;2021;7
1;AKLI;2022;6
1;AKLI;XXXX;3
