sexe;preusuel;annais;nombre
2;SUSANA;1962;3
2;SUSANA;1963;5
2;SUSANA;1964;5
2;SUSANA;1965;3
2;SUSANA;1967;10
2;SUSANA;1968;9
2;SUSANA;1969;9
2;SUSANA;1970;11
2;SUSANA;1971;17
2;SUSANA;1972;14
2;SUSANA;1973;22
2;SUSANA;1974;18
2;SUSANA;1975;23
2;SUSANA;1976;29
2;SUSANA;1977;16
2;SUSANA;1978;9
2;SUSANA;1979;12
2;SUSANA;1980;16
2;SUSANA;1981;14
2;SUSANA;1982;5
2;SUSANA;1983;5
2;SUSANA;1984;12
2;SUSANA;1985;8
2;SUSANA;1986;7
2;SUSANA;1987;4
2;SUSANA;1988;6
2;SUSANA;1989;5
2;SUSANA;1991;3
2;SUSANA;1992;3
2;SUSANA;1993;5
2;SUSANA;1997;4
2;SUSANA;1998;4
2;SUSANA;1999;3
2;SUSANA;2001;3
2;SUSANA;2002;6
2;SUSANA;2003;4
2;SUSANA;2004;3
2;SUSANA;2007;6
2;SUSANA;2008;10
2;SUSANA;2009;9
2;SUSANA;2011;5
2;SUSANA;2012;4
2;SUSANA;2013;4
2;SUSANA;2014;5
2;SUSANA;2016;5
2;SUSANA;2017;5
2;SUSANA;2020;3
2;SUSANA;XXXX;26
