sexe;preusuel;annais;nombre
1;SEIFEDDINE;1981;3
1;SEIFEDDINE;1990;3
1;SEIFEDDINE;1999;5
1;SEIFEDDINE;2000;3
1;SEIFEDDINE;2001;8
1;SEIFEDDINE;2003;8
1;SEIFEDDINE;2004;7
1;SEIFEDDINE;2005;7
1;SEIFEDDINE;2006;3
1;SEIFEDDINE;2007;5
1;SEIFEDDINE;2008;4
1;SEIFEDDINE;2009;13
1;SEIFEDDINE;2010;5
1;SEIFEDDINE;2011;5
1;SEIFEDDINE;2012;6
1;SEIFEDDINE;2013;5
1;SEIFEDDINE;2014;8
1;SEIFEDDINE;2015;10
1;SEIFEDDINE;2016;10
1;SEIFEDDINE;2017;11
1;SEIFEDDINE;2018;7
1;SEIFEDDINE;2020;8
1;SEIFEDDINE;2021;9
1;SEIFEDDINE;2022;9
1;SEIFEDDINE;XXXX;25
