sexe;preusuel;annais;nombre
1;HEBERT;1902;5
1;HEBERT;1903;3
1;HEBERT;1906;5
1;HEBERT;1908;6
1;HEBERT;1909;5
1;HEBERT;1913;4
1;HEBERT;1914;3
1;HEBERT;1918;4
1;HEBERT;1919;5
1;HEBERT;1921;6
1;HEBERT;1922;6
1;HEBERT;1923;8
1;HEBERT;1924;9
1;HEBERT;1925;3
1;HEBERT;1926;5
1;HEBERT;1927;3
1;HEBERT;1928;3
1;HEBERT;1929;3
1;HEBERT;1930;4
1;HEBERT;1931;6
1;HEBERT;1932;10
1;HEBERT;1933;7
1;HEBERT;1934;5
1;HEBERT;1935;7
1;HEBERT;1936;4
1;HEBERT;1938;3
1;HEBERT;1941;4
1;HEBERT;1942;3
1;HEBERT;1943;4
1;HEBERT;1944;3
1;HEBERT;1948;3
1;HEBERT;1952;3
1;HEBERT;1956;5
1;HEBERT;1965;3
1;HEBERT;1974;3
1;HEBERT;XXXX;59
