sexe;preusuel;annais;nombre
2;ASSOMPTION;1900;10
2;ASSOMPTION;1901;10
2;ASSOMPTION;1902;13
2;ASSOMPTION;1903;12
2;ASSOMPTION;1904;7
2;ASSOMPTION;1905;7
2;ASSOMPTION;1906;9
2;ASSOMPTION;1907;20
2;ASSOMPTION;1908;15
2;ASSOMPTION;1909;18
2;ASSOMPTION;1910;12
2;ASSOMPTION;1911;5
2;ASSOMPTION;1912;16
2;ASSOMPTION;1913;24
2;ASSOMPTION;1914;19
2;ASSOMPTION;1915;4
2;ASSOMPTION;1916;16
2;ASSOMPTION;1917;17
2;ASSOMPTION;1918;7
2;ASSOMPTION;1919;7
2;ASSOMPTION;1920;13
2;ASSOMPTION;1921;23
2;ASSOMPTION;1922;10
2;ASSOMPTION;1923;15
2;ASSOMPTION;1924;13
2;ASSOMPTION;1925;10
2;ASSOMPTION;1926;10
2;ASSOMPTION;1927;12
2;ASSOMPTION;1928;9
2;ASSOMPTION;1929;9
2;ASSOMPTION;1930;11
2;ASSOMPTION;1931;17
2;ASSOMPTION;1932;9
2;ASSOMPTION;1933;4
2;ASSOMPTION;1934;9
2;ASSOMPTION;1935;6
2;ASSOMPTION;1936;7
2;ASSOMPTION;1939;4
2;ASSOMPTION;1940;4
2;ASSOMPTION;1941;4
2;ASSOMPTION;1942;5
2;ASSOMPTION;1943;4
2;ASSOMPTION;1946;4
2;ASSOMPTION;1949;6
2;ASSOMPTION;1950;3
2;ASSOMPTION;1951;5
2;ASSOMPTION;1954;3
2;ASSOMPTION;1956;4
2;ASSOMPTION;1958;3
2;ASSOMPTION;1961;6
2;ASSOMPTION;1965;5
2;ASSOMPTION;1967;4
2;ASSOMPTION;1970;4
2;ASSOMPTION;XXXX;30
