sexe;preusuel;annais;nombre
1;GUENHAEL;1947;4
1;GUENHAEL;1948;4
1;GUENHAEL;1950;4
1;GUENHAEL;1951;3
1;GUENHAEL;1952;4
1;GUENHAEL;1953;9
1;GUENHAEL;1954;5
1;GUENHAEL;1955;4
1;GUENHAEL;1956;7
1;GUENHAEL;1957;5
1;GUENHAEL;1958;9
1;GUENHAEL;1959;9
1;GUENHAEL;1960;3
1;GUENHAEL;1961;10
1;GUENHAEL;1962;16
1;GUENHAEL;1963;14
1;GUENHAEL;1964;14
1;GUENHAEL;1965;10
1;GUENHAEL;1966;9
1;GUENHAEL;1967;8
1;GUENHAEL;1968;10
1;GUENHAEL;1969;10
1;GUENHAEL;1970;6
1;GUENHAEL;1971;20
1;GUENHAEL;1972;14
1;GUENHAEL;1973;6
1;GUENHAEL;1974;11
1;GUENHAEL;1975;4
1;GUENHAEL;1976;4
1;GUENHAEL;1977;4
1;GUENHAEL;1979;3
1;GUENHAEL;2003;5
1;GUENHAEL;2007;3
1;GUENHAEL;2008;3
1;GUENHAEL;2010;4
1;GUENHAEL;XXXX;15
