sexe;preusuel;annais;nombre
2;JOCELYNE;1908;4
2;JOCELYNE;1910;3
2;JOCELYNE;1911;3
2;JOCELYNE;1913;7
2;JOCELYNE;1914;6
2;JOCELYNE;1917;5
2;JOCELYNE;1919;7
2;JOCELYNE;1920;7
2;JOCELYNE;1921;8
2;JOCELYNE;1922;13
2;JOCELYNE;1923;35
2;JOCELYNE;1924;35
2;JOCELYNE;1925;48
2;JOCELYNE;1926;56
2;JOCELYNE;1927;62
2;JOCELYNE;1928;101
2;JOCELYNE;1929;115
2;JOCELYNE;1930;142
2;JOCELYNE;1931;157
2;JOCELYNE;1932;253
2;JOCELYNE;1933;327
2;JOCELYNE;1934;418
2;JOCELYNE;1935;458
2;JOCELYNE;1936;606
2;JOCELYNE;1937;647
2;JOCELYNE;1938;699
2;JOCELYNE;1939;791
2;JOCELYNE;1940;876
2;JOCELYNE;1941;919
2;JOCELYNE;1942;1058
2;JOCELYNE;1943;1349
2;JOCELYNE;1944;1689
2;JOCELYNE;1945;2218
2;JOCELYNE;1946;3579
2;JOCELYNE;1947;4134
2;JOCELYNE;1948;4242
2;JOCELYNE;1949;4652
2;JOCELYNE;1950;4848
2;JOCELYNE;1951;4749
2;JOCELYNE;1952;5038
2;JOCELYNE;1953;4735
2;JOCELYNE;1954;6299
2;JOCELYNE;1955;5877
2;JOCELYNE;1956;5481
2;JOCELYNE;1957;4731
2;JOCELYNE;1958;4267
2;JOCELYNE;1959;3933
2;JOCELYNE;1960;3379
2;JOCELYNE;1961;3169
2;JOCELYNE;1962;2713
2;JOCELYNE;1963;2421
2;JOCELYNE;1964;2120
2;JOCELYNE;1965;1827
2;JOCELYNE;1966;1488
2;JOCELYNE;1967;1148
2;JOCELYNE;1968;925
2;JOCELYNE;1969;769
2;JOCELYNE;1970;660
2;JOCELYNE;1971;578
2;JOCELYNE;1972;388
2;JOCELYNE;1973;340
2;JOCELYNE;1974;253
2;JOCELYNE;1975;217
2;JOCELYNE;1976;162
2;JOCELYNE;1977;137
2;JOCELYNE;1978;123
2;JOCELYNE;1979;102
2;JOCELYNE;1980;99
2;JOCELYNE;1981;95
2;JOCELYNE;1982;70
2;JOCELYNE;1983;64
2;JOCELYNE;1984;40
2;JOCELYNE;1985;42
2;JOCELYNE;1986;43
2;JOCELYNE;1987;42
2;JOCELYNE;1988;41
2;JOCELYNE;1989;33
2;JOCELYNE;1990;36
2;JOCELYNE;1991;33
2;JOCELYNE;1992;26
2;JOCELYNE;1993;27
2;JOCELYNE;1994;17
2;JOCELYNE;1995;25
2;JOCELYNE;1996;17
2;JOCELYNE;1997;19
2;JOCELYNE;1998;16
2;JOCELYNE;1999;8
2;JOCELYNE;2000;6
2;JOCELYNE;2001;14
2;JOCELYNE;2002;12
2;JOCELYNE;2003;7
2;JOCELYNE;2004;11
2;JOCELYNE;2005;11
2;JOCELYNE;2006;11
2;JOCELYNE;2007;6
2;JOCELYNE;2008;6
2;JOCELYNE;2009;7
2;JOCELYNE;2011;3
2;JOCELYNE;2012;4
2;JOCELYNE;2013;6
2;JOCELYNE;2016;4
2;JOCELYNE;2018;9
2;JOCELYNE;2019;7
2;JOCELYNE;2020;5
2;JOCELYNE;XXXX;18
