sexe;preusuel;annais;nombre
1;PIERRE-DAMIEN;1971;3
1;PIERRE-DAMIEN;1973;3
1;PIERRE-DAMIEN;1976;3
1;PIERRE-DAMIEN;1978;7
1;PIERRE-DAMIEN;1979;5
1;PIERRE-DAMIEN;1980;8
1;PIERRE-DAMIEN;1981;7
1;PIERRE-DAMIEN;1982;12
1;PIERRE-DAMIEN;1983;4
1;PIERRE-DAMIEN;1984;15
1;PIERRE-DAMIEN;1985;12
1;PIERRE-DAMIEN;1986;9
1;PIERRE-DAMIEN;1987;4
1;PIERRE-DAMIEN;1988;6
1;PIERRE-DAMIEN;1990;7
1;PIERRE-DAMIEN;1991;5
1;PIERRE-DAMIEN;1992;7
1;PIERRE-DAMIEN;1993;3
1;PIERRE-DAMIEN;1996;4
1;PIERRE-DAMIEN;1997;4
1;PIERRE-DAMIEN;1999;3
1;PIERRE-DAMIEN;2001;3
1;PIERRE-DAMIEN;XXXX;26
