sexe;preusuel;annais;nombre
2;JULIANNA;1925;7
2;JULIANNA;1927;8
2;JULIANNA;1928;3
2;JULIANNA;1929;4
2;JULIANNA;1930;3
2;JULIANNA;1932;4
2;JULIANNA;1950;3
2;JULIANNA;1952;5
2;JULIANNA;1956;6
2;JULIANNA;1957;3
2;JULIANNA;1960;3
2;JULIANNA;1972;4
2;JULIANNA;1981;4
2;JULIANNA;1984;3
2;JULIANNA;1985;4
2;JULIANNA;1986;4
2;JULIANNA;1988;8
2;JULIANNA;1989;3
2;JULIANNA;1990;6
2;JULIANNA;1991;4
2;JULIANNA;1992;10
2;JULIANNA;1993;8
2;JULIANNA;1994;6
2;JULIANNA;1995;7
2;JULIANNA;1996;14
2;JULIANNA;1997;14
2;JULIANNA;1998;18
2;JULIANNA;1999;21
2;JULIANNA;2000;25
2;JULIANNA;2001;29
2;JULIANNA;2002;23
2;JULIANNA;2003;29
2;JULIANNA;2004;27
2;JULIANNA;2005;23
2;JULIANNA;2006;24
2;JULIANNA;2007;24
2;JULIANNA;2008;35
2;JULIANNA;2009;14
2;JULIANNA;2010;38
2;JULIANNA;2011;30
2;JULIANNA;2012;33
2;JULIANNA;2013;36
2;JULIANNA;2014;47
2;JULIANNA;2015;38
2;JULIANNA;2016;39
2;JULIANNA;2017;33
2;JULIANNA;2018;50
2;JULIANNA;2019;48
2;JULIANNA;2020;44
2;JULIANNA;2021;40
2;JULIANNA;2022;35
2;JULIANNA;XXXX;50
