sexe;preusuel;annais;nombre
2;CYRILLE;1901;6
2;CYRILLE;1903;3
2;CYRILLE;1909;8
2;CYRILLE;1910;3
2;CYRILLE;1913;3
2;CYRILLE;1914;4
2;CYRILLE;1916;3
2;CYRILLE;1917;6
2;CYRILLE;1918;4
2;CYRILLE;1919;4
2;CYRILLE;1920;4
2;CYRILLE;1921;3
2;CYRILLE;1922;4
2;CYRILLE;1923;4
2;CYRILLE;1924;6
2;CYRILLE;1925;6
2;CYRILLE;1926;12
2;CYRILLE;1927;7
2;CYRILLE;1938;3
2;CYRILLE;1940;3
2;CYRILLE;1941;5
2;CYRILLE;1942;3
2;CYRILLE;1943;3
2;CYRILLE;1944;7
2;CYRILLE;1945;6
2;CYRILLE;1946;7
2;CYRILLE;1947;6
2;CYRILLE;1948;7
2;CYRILLE;1949;7
2;CYRILLE;1950;4
2;CYRILLE;1951;3
2;CYRILLE;1952;6
2;CYRILLE;1953;9
2;CYRILLE;1954;7
2;CYRILLE;1955;9
2;CYRILLE;1956;12
2;CYRILLE;1957;9
2;CYRILLE;1958;8
2;CYRILLE;1959;9
2;CYRILLE;1960;5
2;CYRILLE;1961;15
2;CYRILLE;1962;12
2;CYRILLE;1963;20
2;CYRILLE;1964;31
2;CYRILLE;1965;49
2;CYRILLE;1966;52
2;CYRILLE;1967;56
2;CYRILLE;1968;104
2;CYRILLE;1969;116
2;CYRILLE;1970;125
2;CYRILLE;1971;103
2;CYRILLE;1972;139
2;CYRILLE;1973;91
2;CYRILLE;1974;62
2;CYRILLE;1975;46
2;CYRILLE;1976;49
2;CYRILLE;1977;31
2;CYRILLE;1978;16
2;CYRILLE;1979;15
2;CYRILLE;1980;12
2;CYRILLE;1981;18
2;CYRILLE;1982;12
2;CYRILLE;1983;8
2;CYRILLE;1984;7
2;CYRILLE;1985;8
2;CYRILLE;1986;10
2;CYRILLE;1987;6
2;CYRILLE;1988;13
2;CYRILLE;1989;5
2;CYRILLE;1990;9
2;CYRILLE;1991;6
2;CYRILLE;1992;5
2;CYRILLE;1993;6
2;CYRILLE;1994;6
2;CYRILLE;1995;4
2;CYRILLE;1996;6
2;CYRILLE;1997;8
2;CYRILLE;1999;8
2;CYRILLE;2000;3
2;CYRILLE;2001;3
2;CYRILLE;2002;3
2;CYRILLE;2003;6
2;CYRILLE;2005;7
2;CYRILLE;2006;3
2;CYRILLE;2007;3
2;CYRILLE;2008;5
2;CYRILLE;2012;3
2;CYRILLE;XXXX;37
