sexe;preusuel;annais;nombre
2;STEFFY;1977;3
2;STEFFY;1986;3
2;STEFFY;1987;29
2;STEFFY;1988;34
2;STEFFY;1989;56
2;STEFFY;1990;57
2;STEFFY;1991;66
2;STEFFY;1992;75
2;STEFFY;1993;65
2;STEFFY;1994;43
2;STEFFY;1995;58
2;STEFFY;1996;63
2;STEFFY;1997;47
2;STEFFY;1998;38
2;STEFFY;1999;47
2;STEFFY;2000;37
2;STEFFY;2001;37
2;STEFFY;2002;42
2;STEFFY;2003;45
2;STEFFY;2004;34
2;STEFFY;2005;25
2;STEFFY;2006;23
2;STEFFY;2007;16
2;STEFFY;2008;20
2;STEFFY;2009;15
2;STEFFY;2010;12
2;STEFFY;2011;19
2;STEFFY;2012;14
2;STEFFY;2013;14
2;STEFFY;2014;6
2;STEFFY;2015;10
2;STEFFY;2016;11
2;STEFFY;2017;10
2;STEFFY;2018;7
2;STEFFY;2019;8
2;STEFFY;2020;3
2;STEFFY;XXXX;5
