sexe;preusuel;annais;nombre
1;KALIDOU;1975;5
1;KALIDOU;1982;5
1;KALIDOU;1983;4
1;KALIDOU;1984;3
1;KALIDOU;1985;6
1;KALIDOU;1986;6
1;KALIDOU;1987;8
1;KALIDOU;1988;12
1;KALIDOU;1989;5
1;KALIDOU;1990;7
1;KALIDOU;1991;6
1;KALIDOU;1992;4
1;KALIDOU;1993;4
1;KALIDOU;1994;7
1;KALIDOU;1996;3
1;KALIDOU;1998;4
1;KALIDOU;1999;7
1;KALIDOU;2000;5
1;KALIDOU;2001;3
1;KALIDOU;2002;7
1;KALIDOU;2003;5
1;KALIDOU;2004;8
1;KALIDOU;2005;5
1;KALIDOU;2006;4
1;KALIDOU;2007;3
1;KALIDOU;2008;4
1;KALIDOU;2009;4
1;KALIDOU;2010;6
1;KALIDOU;2011;10
1;KALIDOU;2012;4
1;KALIDOU;2013;9
1;KALIDOU;2014;9
1;KALIDOU;2015;6
1;KALIDOU;2016;10
1;KALIDOU;2017;13
1;KALIDOU;2018;5
1;KALIDOU;2019;10
1;KALIDOU;2020;6
1;KALIDOU;2021;5
1;KALIDOU;2022;10
1;KALIDOU;XXXX;14
