sexe;preusuel;annais;nombre
2;ANASTASIE;1900;87
2;ANASTASIE;1901;115
2;ANASTASIE;1902;80
2;ANASTASIE;1903;113
2;ANASTASIE;1904;84
2;ANASTASIE;1905;97
2;ANASTASIE;1906;65
2;ANASTASIE;1907;83
2;ANASTASIE;1908;99
2;ANASTASIE;1909;78
2;ANASTASIE;1910;88
2;ANASTASIE;1911;69
2;ANASTASIE;1912;74
2;ANASTASIE;1913;81
2;ANASTASIE;1914;73
2;ANASTASIE;1915;51
2;ANASTASIE;1916;42
2;ANASTASIE;1917;38
2;ANASTASIE;1918;51
2;ANASTASIE;1919;40
2;ANASTASIE;1920;81
2;ANASTASIE;1921;44
2;ANASTASIE;1922;70
2;ANASTASIE;1923;57
2;ANASTASIE;1924;50
2;ANASTASIE;1925;78
2;ANASTASIE;1926;48
2;ANASTASIE;1927;32
2;ANASTASIE;1928;22
2;ANASTASIE;1929;47
2;ANASTASIE;1930;38
2;ANASTASIE;1931;51
2;ANASTASIE;1932;49
2;ANASTASIE;1933;36
2;ANASTASIE;1934;34
2;ANASTASIE;1935;51
2;ANASTASIE;1936;31
2;ANASTASIE;1937;25
2;ANASTASIE;1938;20
2;ANASTASIE;1939;30
2;ANASTASIE;1940;26
2;ANASTASIE;1941;21
2;ANASTASIE;1942;19
2;ANASTASIE;1943;21
2;ANASTASIE;1944;13
2;ANASTASIE;1945;21
2;ANASTASIE;1946;15
2;ANASTASIE;1947;18
2;ANASTASIE;1948;17
2;ANASTASIE;1949;14
2;ANASTASIE;1950;15
2;ANASTASIE;1951;11
2;ANASTASIE;1952;16
2;ANASTASIE;1953;12
2;ANASTASIE;1954;10
2;ANASTASIE;1955;18
2;ANASTASIE;1956;10
2;ANASTASIE;1957;7
2;ANASTASIE;1958;18
2;ANASTASIE;1959;7
2;ANASTASIE;1960;7
2;ANASTASIE;1961;12
2;ANASTASIE;1962;5
2;ANASTASIE;1963;9
2;ANASTASIE;1964;6
2;ANASTASIE;1965;8
2;ANASTASIE;1966;5
2;ANASTASIE;1967;6
2;ANASTASIE;1968;10
2;ANASTASIE;1970;5
2;ANASTASIE;1971;4
2;ANASTASIE;1972;5
2;ANASTASIE;1979;4
2;ANASTASIE;1981;3
2;ANASTASIE;1982;8
2;ANASTASIE;1983;6
2;ANASTASIE;1984;10
2;ANASTASIE;1985;6
2;ANASTASIE;1986;8
2;ANASTASIE;1987;7
2;ANASTASIE;1988;19
2;ANASTASIE;1989;10
2;ANASTASIE;1990;11
2;ANASTASIE;1991;9
2;ANASTASIE;1992;13
2;ANASTASIE;1993;11
2;ANASTASIE;1994;11
2;ANASTASIE;1995;9
2;ANASTASIE;1996;7
2;ANASTASIE;1998;6
2;ANASTASIE;1999;3
2;ANASTASIE;2000;5
2;ANASTASIE;2001;6
2;ANASTASIE;2002;8
2;ANASTASIE;2003;5
2;ANASTASIE;2005;11
2;ANASTASIE;2006;8
2;ANASTASIE;2007;7
2;ANASTASIE;2008;7
2;ANASTASIE;2009;9
2;ANASTASIE;2010;9
2;ANASTASIE;2011;6
2;ANASTASIE;2012;6
2;ANASTASIE;2013;7
2;ANASTASIE;2014;8
2;ANASTASIE;2015;4
2;ANASTASIE;2016;6
2;ANASTASIE;2017;7
2;ANASTASIE;2019;3
2;ANASTASIE;2020;7
2;ANASTASIE;2022;4
2;ANASTASIE;XXXX;19
