sexe;preusuel;annais;nombre
2;DALIA;1908;3
2;DALIA;1912;5
2;DALIA;1937;3
2;DALIA;1944;3
2;DALIA;1945;3
2;DALIA;1946;5
2;DALIA;1947;4
2;DALIA;1948;3
2;DALIA;1949;5
2;DALIA;1950;5
2;DALIA;1951;6
2;DALIA;1952;5
2;DALIA;1953;3
2;DALIA;1954;3
2;DALIA;1957;3
2;DALIA;1958;3
2;DALIA;1959;6
2;DALIA;1961;3
2;DALIA;1962;5
2;DALIA;1963;5
2;DALIA;1964;4
2;DALIA;1966;4
2;DALIA;1967;3
2;DALIA;1968;9
2;DALIA;1969;5
2;DALIA;1970;8
2;DALIA;1971;9
2;DALIA;1972;19
2;DALIA;1973;13
2;DALIA;1974;15
2;DALIA;1975;10
2;DALIA;1976;10
2;DALIA;1977;9
2;DALIA;1978;10
2;DALIA;1979;8
2;DALIA;1980;8
2;DALIA;1981;6
2;DALIA;1982;4
2;DALIA;1983;8
2;DALIA;1984;14
2;DALIA;1985;7
2;DALIA;1986;9
2;DALIA;1987;8
2;DALIA;1988;8
2;DALIA;1989;10
2;DALIA;1990;14
2;DALIA;1991;15
2;DALIA;1992;11
2;DALIA;1993;11
2;DALIA;1994;13
2;DALIA;1995;12
2;DALIA;1996;7
2;DALIA;1997;16
2;DALIA;1998;27
2;DALIA;1999;32
2;DALIA;2000;37
2;DALIA;2001;35
2;DALIA;2002;48
2;DALIA;2003;41
2;DALIA;2004;43
2;DALIA;2005;57
2;DALIA;2006;49
2;DALIA;2007;58
2;DALIA;2008;65
2;DALIA;2009;78
2;DALIA;2010;55
2;DALIA;2011;82
2;DALIA;2012;93
2;DALIA;2013;73
2;DALIA;2014;96
2;DALIA;2015;117
2;DALIA;2016;101
2;DALIA;2017;107
2;DALIA;2018;106
2;DALIA;2019;111
2;DALIA;2020;86
2;DALIA;2021;95
2;DALIA;2022;95
2;DALIA;XXXX;60
