sexe;preusuel;annais;nombre
1;KERRY;1961;4
1;KERRY;1986;3
1;KERRY;1991;3
1;KERRY;1992;4
1;KERRY;1993;5
1;KERRY;1994;4
1;KERRY;1995;4
1;KERRY;1996;6
1;KERRY;1997;5
1;KERRY;1998;3
1;KERRY;1999;3
1;KERRY;2000;6
1;KERRY;2001;4
1;KERRY;2002;3
1;KERRY;2004;7
1;KERRY;2005;8
1;KERRY;2006;9
1;KERRY;2007;7
1;KERRY;2008;10
1;KERRY;2009;10
1;KERRY;2010;5
1;KERRY;2011;5
1;KERRY;2012;9
1;KERRY;2013;11
1;KERRY;2014;8
1;KERRY;2015;6
1;KERRY;2016;5
1;KERRY;2017;4
1;KERRY;2018;7
1;KERRY;2019;5
1;KERRY;2020;8
1;KERRY;2021;10
1;KERRY;2022;3
1;KERRY;XXXX;21
