sexe;preusuel;annais;nombre
2;BRENDA;1953;4
2;BRENDA;1954;8
2;BRENDA;1955;12
2;BRENDA;1956;7
2;BRENDA;1957;18
2;BRENDA;1958;17
2;BRENDA;1959;13
2;BRENDA;1960;22
2;BRENDA;1961;18
2;BRENDA;1962;24
2;BRENDA;1963;15
2;BRENDA;1964;11
2;BRENDA;1965;9
2;BRENDA;1966;6
2;BRENDA;1969;3
2;BRENDA;1971;5
2;BRENDA;1972;4
2;BRENDA;1973;3
2;BRENDA;1974;3
2;BRENDA;1975;6
2;BRENDA;1976;4
2;BRENDA;1977;6
2;BRENDA;1978;5
2;BRENDA;1979;5
2;BRENDA;1980;5
2;BRENDA;1981;4
2;BRENDA;1982;11
2;BRENDA;1983;19
2;BRENDA;1984;12
2;BRENDA;1985;12
2;BRENDA;1986;19
2;BRENDA;1987;19
2;BRENDA;1988;30
2;BRENDA;1989;64
2;BRENDA;1990;74
2;BRENDA;1991;37
2;BRENDA;1992;61
2;BRENDA;1993;295
2;BRENDA;1994;551
2;BRENDA;1995;646
2;BRENDA;1996;326
2;BRENDA;1997;269
2;BRENDA;1998;244
2;BRENDA;1999;231
2;BRENDA;2000;181
2;BRENDA;2001;132
2;BRENDA;2002;114
2;BRENDA;2003;98
2;BRENDA;2004;92
2;BRENDA;2005;80
2;BRENDA;2006;60
2;BRENDA;2007;55
2;BRENDA;2008;47
2;BRENDA;2009;29
2;BRENDA;2010;25
2;BRENDA;2011;20
2;BRENDA;2012;35
2;BRENDA;2013;17
2;BRENDA;2014;19
2;BRENDA;2015;22
2;BRENDA;2016;17
2;BRENDA;2017;10
2;BRENDA;2018;11
2;BRENDA;2019;13
2;BRENDA;2020;5
2;BRENDA;2021;13
2;BRENDA;2022;3
2;BRENDA;XXXX;7
