sexe;preusuel;annais;nombre
1;ANISSE;1975;3
1;ANISSE;1976;3
1;ANISSE;1977;6
1;ANISSE;1978;12
1;ANISSE;1979;11
1;ANISSE;1980;19
1;ANISSE;1981;15
1;ANISSE;1982;10
1;ANISSE;1983;10
1;ANISSE;1984;12
1;ANISSE;1985;22
1;ANISSE;1986;13
1;ANISSE;1987;5
1;ANISSE;1988;7
1;ANISSE;1989;11
1;ANISSE;1990;10
1;ANISSE;1991;5
1;ANISSE;1992;19
1;ANISSE;1993;12
1;ANISSE;1994;13
1;ANISSE;1995;15
1;ANISSE;1996;19
1;ANISSE;1997;31
1;ANISSE;1998;26
1;ANISSE;1999;23
1;ANISSE;2000;26
1;ANISSE;2001;26
1;ANISSE;2002;32
1;ANISSE;2003;25
1;ANISSE;2004;30
1;ANISSE;2005;30
1;ANISSE;2006;26
1;ANISSE;2007;29
1;ANISSE;2008;12
1;ANISSE;2009;13
1;ANISSE;2010;23
1;ANISSE;2011;14
1;ANISSE;2012;15
1;ANISSE;2013;16
1;ANISSE;2014;11
1;ANISSE;2015;13
1;ANISSE;2016;15
1;ANISSE;2017;10
1;ANISSE;2018;13
1;ANISSE;2019;3
1;ANISSE;2020;6
1;ANISSE;2021;5
1;ANISSE;2022;5
1;ANISSE;XXXX;3
