sexe;preusuel;annais;nombre
1;SAIDOU;1974;3
1;SAIDOU;1975;3
1;SAIDOU;1976;5
1;SAIDOU;1977;3
1;SAIDOU;1978;5
1;SAIDOU;1979;3
1;SAIDOU;1980;7
1;SAIDOU;1981;8
1;SAIDOU;1982;7
1;SAIDOU;1983;6
1;SAIDOU;1984;10
1;SAIDOU;1985;14
1;SAIDOU;1986;5
1;SAIDOU;1987;13
1;SAIDOU;1988;12
1;SAIDOU;1989;13
1;SAIDOU;1990;16
1;SAIDOU;1991;9
1;SAIDOU;1992;9
1;SAIDOU;1993;8
1;SAIDOU;1994;8
1;SAIDOU;1995;10
1;SAIDOU;1996;9
1;SAIDOU;1997;9
1;SAIDOU;1998;3
1;SAIDOU;1999;7
1;SAIDOU;2000;6
1;SAIDOU;2001;4
1;SAIDOU;2002;6
1;SAIDOU;2003;5
1;SAIDOU;2004;9
1;SAIDOU;2005;9
1;SAIDOU;2006;10
1;SAIDOU;2007;10
1;SAIDOU;2008;11
1;SAIDOU;2009;8
1;SAIDOU;2010;8
1;SAIDOU;2011;8
1;SAIDOU;2012;7
1;SAIDOU;2013;3
1;SAIDOU;2014;7
1;SAIDOU;2015;5
1;SAIDOU;2016;4
1;SAIDOU;2017;3
1;SAIDOU;2018;5
1;SAIDOU;2019;3
1;SAIDOU;2020;7
1;SAIDOU;2021;6
1;SAIDOU;2022;6
1;SAIDOU;XXXX;3
