sexe;preusuel;annais;nombre
1;KEN;1966;3
1;KEN;1967;6
1;KEN;1968;6
1;KEN;1969;3
1;KEN;1970;3
1;KEN;1971;4
1;KEN;1972;5
1;KEN;1973;5
1;KEN;1974;13
1;KEN;1975;15
1;KEN;1976;17
1;KEN;1977;13
1;KEN;1978;24
1;KEN;1979;23
1;KEN;1980;30
1;KEN;1981;15
1;KEN;1982;28
1;KEN;1983;38
1;KEN;1984;30
1;KEN;1985;29
1;KEN;1986;54
1;KEN;1987;41
1;KEN;1988;65
1;KEN;1989;104
1;KEN;1990;69
1;KEN;1991;63
1;KEN;1992;89
1;KEN;1993;69
1;KEN;1994;43
1;KEN;1995;45
1;KEN;1996;36
1;KEN;1997;28
1;KEN;1998;28
1;KEN;1999;21
1;KEN;2000;23
1;KEN;2001;16
1;KEN;2002;16
1;KEN;2003;17
1;KEN;2004;14
1;KEN;2005;21
1;KEN;2006;17
1;KEN;2007;12
1;KEN;2008;12
1;KEN;2009;12
1;KEN;2010;7
1;KEN;2011;11
1;KEN;2012;9
1;KEN;2013;8
1;KEN;2014;10
1;KEN;2015;11
1;KEN;2016;8
1;KEN;2017;11
1;KEN;2018;9
1;KEN;2019;6
1;KEN;2020;3
1;KEN;2021;5
1;KEN;2022;5
1;KEN;XXXX;6
