sexe;preusuel;annais;nombre
2;NASSIRA;1956;5
2;NASSIRA;1957;9
2;NASSIRA;1958;6
2;NASSIRA;1959;10
2;NASSIRA;1960;15
2;NASSIRA;1961;12
2;NASSIRA;1962;23
2;NASSIRA;1963;18
2;NASSIRA;1964;18
2;NASSIRA;1965;14
2;NASSIRA;1966;22
2;NASSIRA;1967;17
2;NASSIRA;1968;26
2;NASSIRA;1969;19
2;NASSIRA;1970;19
2;NASSIRA;1971;20
2;NASSIRA;1972;14
2;NASSIRA;1973;15
2;NASSIRA;1974;21
2;NASSIRA;1975;28
2;NASSIRA;1976;24
2;NASSIRA;1977;23
2;NASSIRA;1978;24
2;NASSIRA;1979;28
2;NASSIRA;1980;26
2;NASSIRA;1981;31
2;NASSIRA;1982;23
2;NASSIRA;1983;33
2;NASSIRA;1984;36
2;NASSIRA;1985;21
2;NASSIRA;1986;19
2;NASSIRA;1987;23
2;NASSIRA;1988;23
2;NASSIRA;1989;17
2;NASSIRA;1990;14
2;NASSIRA;1991;21
2;NASSIRA;1992;14
2;NASSIRA;1993;23
2;NASSIRA;1994;18
2;NASSIRA;1995;8
2;NASSIRA;1996;11
2;NASSIRA;1997;3
2;NASSIRA;1998;9
2;NASSIRA;1999;9
2;NASSIRA;2000;5
2;NASSIRA;2001;9
2;NASSIRA;2002;10
2;NASSIRA;2003;13
2;NASSIRA;2004;6
2;NASSIRA;2005;4
2;NASSIRA;2006;5
2;NASSIRA;2007;7
2;NASSIRA;2008;6
2;NASSIRA;2009;5
2;NASSIRA;2010;7
2;NASSIRA;2011;4
2;NASSIRA;2012;6
2;NASSIRA;2013;5
2;NASSIRA;2014;6
2;NASSIRA;2015;4
2;NASSIRA;2016;8
2;NASSIRA;2017;8
2;NASSIRA;2018;3
2;NASSIRA;2019;9
2;NASSIRA;2020;7
2;NASSIRA;2021;5
2;NASSIRA;2022;4
2;NASSIRA;XXXX;3
