sexe;preusuel;annais;nombre
2;CHRISTÈLE;1947;9
2;CHRISTÈLE;1948;6
2;CHRISTÈLE;1951;3
2;CHRISTÈLE;1952;4
2;CHRISTÈLE;1953;10
2;CHRISTÈLE;1954;6
2;CHRISTÈLE;1955;7
2;CHRISTÈLE;1956;14
2;CHRISTÈLE;1957;24
2;CHRISTÈLE;1958;26
2;CHRISTÈLE;1959;40
2;CHRISTÈLE;1960;47
2;CHRISTÈLE;1961;61
2;CHRISTÈLE;1962;117
2;CHRISTÈLE;1963;173
2;CHRISTÈLE;1964;264
2;CHRISTÈLE;1965;438
2;CHRISTÈLE;1966;595
2;CHRISTÈLE;1967;801
2;CHRISTÈLE;1968;1118
2;CHRISTÈLE;1969;1292
2;CHRISTÈLE;1970;1394
2;CHRISTÈLE;1971;1393
2;CHRISTÈLE;1972;1266
2;CHRISTÈLE;1973;980
2;CHRISTÈLE;1974;678
2;CHRISTÈLE;1975;496
2;CHRISTÈLE;1976;349
2;CHRISTÈLE;1977;298
2;CHRISTÈLE;1978;255
2;CHRISTÈLE;1979;158
2;CHRISTÈLE;1980;132
2;CHRISTÈLE;1981;106
2;CHRISTÈLE;1982;87
2;CHRISTÈLE;1983;85
2;CHRISTÈLE;1984;81
2;CHRISTÈLE;1985;61
2;CHRISTÈLE;1986;63
2;CHRISTÈLE;1987;37
2;CHRISTÈLE;1988;30
2;CHRISTÈLE;1989;18
2;CHRISTÈLE;1990;16
2;CHRISTÈLE;1991;11
2;CHRISTÈLE;1992;11
2;CHRISTÈLE;1993;8
2;CHRISTÈLE;1994;10
2;CHRISTÈLE;1995;8
2;CHRISTÈLE;1996;10
2;CHRISTÈLE;1997;3
2;CHRISTÈLE;1998;5
2;CHRISTÈLE;1999;4
2;CHRISTÈLE;XXXX;18
