sexe;preusuel;annais;nombre
2;NASMA;1988;3
2;NASMA;1989;5
2;NASMA;1990;3
2;NASMA;1991;4
2;NASMA;1992;5
2;NASMA;1993;5
2;NASMA;1994;3
2;NASMA;1995;7
2;NASMA;1996;6
2;NASMA;1997;6
2;NASMA;1998;6
2;NASMA;1999;8
2;NASMA;2000;7
2;NASMA;2001;16
2;NASMA;2002;10
2;NASMA;2003;7
2;NASMA;2004;14
2;NASMA;2005;15
2;NASMA;2006;16
2;NASMA;2007;17
2;NASMA;2008;14
2;NASMA;2009;13
2;NASMA;2010;13
2;NASMA;2011;16
2;NASMA;2012;31
2;NASMA;2013;25
2;NASMA;2014;24
2;NASMA;2015;36
2;NASMA;2016;29
2;NASMA;2017;38
2;NASMA;2018;18
2;NASMA;2019;18
2;NASMA;2020;20
2;NASMA;2021;15
2;NASMA;2022;16
2;NASMA;XXXX;12
