sexe;preusuel;annais;nombre
2;COLLETTE;1900;3
2;COLLETTE;1901;3
2;COLLETTE;1903;3
2;COLLETTE;1904;4
2;COLLETTE;1905;8
2;COLLETTE;1906;5
2;COLLETTE;1907;5
2;COLLETTE;1908;4
2;COLLETTE;1909;12
2;COLLETTE;1910;4
2;COLLETTE;1911;6
2;COLLETTE;1912;15
2;COLLETTE;1913;10
2;COLLETTE;1914;19
2;COLLETTE;1915;9
2;COLLETTE;1916;8
2;COLLETTE;1917;6
2;COLLETTE;1918;9
2;COLLETTE;1919;12
2;COLLETTE;1920;19
2;COLLETTE;1921;19
2;COLLETTE;1922;18
2;COLLETTE;1923;24
2;COLLETTE;1924;41
2;COLLETTE;1925;47
2;COLLETTE;1926;31
2;COLLETTE;1927;25
2;COLLETTE;1928;45
2;COLLETTE;1929;51
2;COLLETTE;1930;35
2;COLLETTE;1931;44
2;COLLETTE;1932;43
2;COLLETTE;1933;45
2;COLLETTE;1934;52
2;COLLETTE;1935;40
2;COLLETTE;1936;42
2;COLLETTE;1937;44
2;COLLETTE;1938;32
2;COLLETTE;1939;38
2;COLLETTE;1940;19
2;COLLETTE;1941;19
2;COLLETTE;1942;19
2;COLLETTE;1943;16
2;COLLETTE;1944;13
2;COLLETTE;1945;11
2;COLLETTE;1946;11
2;COLLETTE;1947;12
2;COLLETTE;1948;12
2;COLLETTE;1949;11
2;COLLETTE;1951;13
2;COLLETTE;1952;13
2;COLLETTE;1953;8
2;COLLETTE;1954;6
2;COLLETTE;1956;6
2;COLLETTE;1960;3
2;COLLETTE;1962;3
2;COLLETTE;XXXX;16
