sexe;preusuel;annais;nombre
2;THESSA;1994;4
2;THESSA;1995;5
2;THESSA;1996;7
2;THESSA;1997;13
2;THESSA;1998;6
2;THESSA;1999;11
2;THESSA;2000;8
2;THESSA;2001;11
2;THESSA;2002;15
2;THESSA;2003;15
2;THESSA;2004;12
2;THESSA;2005;18
2;THESSA;2006;16
2;THESSA;2007;10
2;THESSA;2008;11
2;THESSA;2009;14
2;THESSA;2010;21
2;THESSA;2011;14
2;THESSA;2012;12
2;THESSA;2013;12
2;THESSA;2014;10
2;THESSA;2015;13
2;THESSA;2016;19
2;THESSA;2017;9
2;THESSA;2018;9
2;THESSA;2019;12
2;THESSA;2020;11
2;THESSA;2021;13
2;THESSA;2022;11
2;THESSA;XXXX;10
