sexe;preusuel;annais;nombre
1;FARID;1947;5
1;FARID;1948;6
1;FARID;1949;7
1;FARID;1950;13
1;FARID;1951;24
1;FARID;1952;38
1;FARID;1953;55
1;FARID;1954;81
1;FARID;1955;111
1;FARID;1956;150
1;FARID;1957;180
1;FARID;1958;185
1;FARID;1959;232
1;FARID;1960;279
1;FARID;1961;310
1;FARID;1962;304
1;FARID;1963;360
1;FARID;1964;443
1;FARID;1965;494
1;FARID;1966;575
1;FARID;1967;537
1;FARID;1968;489
1;FARID;1969;566
1;FARID;1970;497
1;FARID;1971;561
1;FARID;1972;560
1;FARID;1973;615
1;FARID;1974;636
1;FARID;1975;709
1;FARID;1976;608
1;FARID;1977;701
1;FARID;1978;650
1;FARID;1979;634
1;FARID;1980;623
1;FARID;1981;600
1;FARID;1982;579
1;FARID;1983;528
1;FARID;1984;525
1;FARID;1985;406
1;FARID;1986;406
1;FARID;1987;340
1;FARID;1988;294
1;FARID;1989;257
1;FARID;1990;219
1;FARID;1991;181
1;FARID;1992;175
1;FARID;1993;141
1;FARID;1994;137
1;FARID;1995;103
1;FARID;1996;92
1;FARID;1997;67
1;FARID;1998;54
1;FARID;1999;62
1;FARID;2000;43
1;FARID;2001;44
1;FARID;2002;60
1;FARID;2003;46
1;FARID;2004;33
1;FARID;2005;44
1;FARID;2006;39
1;FARID;2007;26
1;FARID;2008;27
1;FARID;2009;40
1;FARID;2010;34
1;FARID;2011;26
1;FARID;2012;34
1;FARID;2013;26
1;FARID;2014;32
1;FARID;2015;34
1;FARID;2016;28
1;FARID;2017;27
1;FARID;2018;24
1;FARID;2019;25
1;FARID;2020;15
1;FARID;2021;23
1;FARID;2022;30
1;FARID;XXXX;2
