sexe;preusuel;annais;nombre
2;WINONA;1993;3
2;WINONA;1994;5
2;WINONA;1995;9
2;WINONA;1996;9
2;WINONA;1997;12
2;WINONA;1998;19
2;WINONA;1999;13
2;WINONA;2000;16
2;WINONA;2001;21
2;WINONA;2002;12
2;WINONA;2003;19
2;WINONA;2004;16
2;WINONA;2005;11
2;WINONA;2006;9
2;WINONA;2007;10
2;WINONA;2008;10
2;WINONA;2009;10
2;WINONA;2010;11
2;WINONA;2011;6
2;WINONA;2012;5
2;WINONA;2013;10
2;WINONA;2014;4
2;WINONA;2015;3
2;WINONA;2016;7
2;WINONA;2018;6
2;WINONA;2019;8
2;WINONA;2020;4
2;WINONA;2021;5
2;WINONA;2022;7
2;WINONA;XXXX;7
