sexe;preusuel;annais;nombre
1;MORAND;1900;4
1;MORAND;1901;9
1;MORAND;1902;4
1;MORAND;1903;3
1;MORAND;1905;7
1;MORAND;1906;4
1;MORAND;1907;4
1;MORAND;1910;6
1;MORAND;1914;4
1;MORAND;1916;3
1;MORAND;1919;4
1;MORAND;1924;4
1;MORAND;1925;3
1;MORAND;1926;3
1;MORAND;1927;3
1;MORAND;1928;3
1;MORAND;1929;7
1;MORAND;1930;6
1;MORAND;1931;3
1;MORAND;1937;4
1;MORAND;1938;3
1;MORAND;1939;6
1;MORAND;1940;3
1;MORAND;1941;3
1;MORAND;1942;4
1;MORAND;1943;5
1;MORAND;1944;5
1;MORAND;1946;3
1;MORAND;1947;3
1;MORAND;1948;4
1;MORAND;1950;3
1;MORAND;1951;5
1;MORAND;1952;4
1;MORAND;1954;3
1;MORAND;1955;4
1;MORAND;1956;3
1;MORAND;1957;4
1;MORAND;1958;4
1;MORAND;1959;4
1;MORAND;1960;3
1;MORAND;1961;3
1;MORAND;1963;3
1;MORAND;1965;5
1;MORAND;1966;4
1;MORAND;1979;3
1;MORAND;1991;7
1;MORAND;1992;5
1;MORAND;1995;5
1;MORAND;XXXX;63
