sexe;preusuel;annais;nombre
2;RAPHAELE;1900;11
2;RAPHAELE;1901;6
2;RAPHAELE;1902;5
2;RAPHAELE;1903;6
2;RAPHAELE;1904;10
2;RAPHAELE;1905;11
2;RAPHAELE;1906;11
2;RAPHAELE;1907;7
2;RAPHAELE;1908;12
2;RAPHAELE;1909;13
2;RAPHAELE;1910;8
2;RAPHAELE;1911;18
2;RAPHAELE;1912;8
2;RAPHAELE;1913;15
2;RAPHAELE;1914;11
2;RAPHAELE;1915;14
2;RAPHAELE;1916;12
2;RAPHAELE;1917;9
2;RAPHAELE;1918;12
2;RAPHAELE;1919;9
2;RAPHAELE;1920;14
2;RAPHAELE;1921;16
2;RAPHAELE;1922;12
2;RAPHAELE;1923;7
2;RAPHAELE;1924;15
2;RAPHAELE;1925;8
2;RAPHAELE;1926;9
2;RAPHAELE;1927;10
2;RAPHAELE;1928;9
2;RAPHAELE;1929;10
2;RAPHAELE;1930;7
2;RAPHAELE;1931;9
2;RAPHAELE;1932;7
2;RAPHAELE;1933;9
2;RAPHAELE;1934;9
2;RAPHAELE;1935;5
2;RAPHAELE;1936;7
2;RAPHAELE;1937;6
2;RAPHAELE;1938;5
2;RAPHAELE;1939;8
2;RAPHAELE;1940;12
2;RAPHAELE;1941;8
2;RAPHAELE;1942;10
2;RAPHAELE;1943;9
2;RAPHAELE;1944;5
2;RAPHAELE;1945;12
2;RAPHAELE;1946;14
2;RAPHAELE;1947;8
2;RAPHAELE;1948;11
2;RAPHAELE;1949;16
2;RAPHAELE;1950;11
2;RAPHAELE;1951;16
2;RAPHAELE;1952;13
2;RAPHAELE;1953;13
2;RAPHAELE;1954;11
2;RAPHAELE;1955;17
2;RAPHAELE;1956;16
2;RAPHAELE;1957;18
2;RAPHAELE;1958;24
2;RAPHAELE;1959;16
2;RAPHAELE;1960;29
2;RAPHAELE;1961;24
2;RAPHAELE;1962;41
2;RAPHAELE;1963;34
2;RAPHAELE;1964;53
2;RAPHAELE;1965;55
2;RAPHAELE;1966;48
2;RAPHAELE;1967;78
2;RAPHAELE;1968;67
2;RAPHAELE;1969;95
2;RAPHAELE;1970;89
2;RAPHAELE;1971;109
2;RAPHAELE;1972;104
2;RAPHAELE;1973;68
2;RAPHAELE;1974;70
2;RAPHAELE;1975;74
2;RAPHAELE;1976;80
2;RAPHAELE;1977;74
2;RAPHAELE;1978;50
2;RAPHAELE;1979;39
2;RAPHAELE;1980;42
2;RAPHAELE;1981;39
2;RAPHAELE;1982;30
2;RAPHAELE;1983;27
2;RAPHAELE;1984;24
2;RAPHAELE;1985;25
2;RAPHAELE;1986;44
2;RAPHAELE;1987;22
2;RAPHAELE;1988;21
2;RAPHAELE;1989;16
2;RAPHAELE;1990;24
2;RAPHAELE;1991;26
2;RAPHAELE;1992;15
2;RAPHAELE;1993;18
2;RAPHAELE;1994;15
2;RAPHAELE;1995;8
2;RAPHAELE;1996;13
2;RAPHAELE;1997;7
2;RAPHAELE;1998;9
2;RAPHAELE;1999;4
2;RAPHAELE;2000;17
2;RAPHAELE;2001;10
2;RAPHAELE;2002;12
2;RAPHAELE;2003;11
2;RAPHAELE;2004;13
2;RAPHAELE;2005;10
2;RAPHAELE;2006;6
2;RAPHAELE;2007;7
2;RAPHAELE;2008;9
2;RAPHAELE;2009;13
2;RAPHAELE;2010;7
2;RAPHAELE;XXXX;4
