sexe;preusuel;annais;nombre
2;MAYSSANE;1995;4
2;MAYSSANE;1996;4
2;MAYSSANE;1997;4
2;MAYSSANE;1998;3
2;MAYSSANE;2000;4
2;MAYSSANE;2001;7
2;MAYSSANE;2002;10
2;MAYSSANE;2003;7
2;MAYSSANE;2004;16
2;MAYSSANE;2005;18
2;MAYSSANE;2006;22
2;MAYSSANE;2007;42
2;MAYSSANE;2008;60
2;MAYSSANE;2009;54
2;MAYSSANE;2010;59
2;MAYSSANE;2011;70
2;MAYSSANE;2012;68
2;MAYSSANE;2013;84
2;MAYSSANE;2014;112
2;MAYSSANE;2015;114
2;MAYSSANE;2016;105
2;MAYSSANE;2017;89
2;MAYSSANE;2018;81
2;MAYSSANE;2019;88
2;MAYSSANE;2020;97
2;MAYSSANE;2021;83
2;MAYSSANE;2022;67
2;MAYSSANE;XXXX;5
