sexe;preusuel;annais;nombre
1;HAROUNA;1974;3
1;HAROUNA;1976;4
1;HAROUNA;1977;3
1;HAROUNA;1979;14
1;HAROUNA;1980;12
1;HAROUNA;1981;13
1;HAROUNA;1982;15
1;HAROUNA;1983;12
1;HAROUNA;1984;14
1;HAROUNA;1985;25
1;HAROUNA;1986;26
1;HAROUNA;1987;28
1;HAROUNA;1988;27
1;HAROUNA;1989;29
1;HAROUNA;1990;19
1;HAROUNA;1991;24
1;HAROUNA;1992;19
1;HAROUNA;1993;19
1;HAROUNA;1994;15
1;HAROUNA;1995;17
1;HAROUNA;1996;14
1;HAROUNA;1997;14
1;HAROUNA;1998;16
1;HAROUNA;1999;12
1;HAROUNA;2000;16
1;HAROUNA;2001;22
1;HAROUNA;2002;22
1;HAROUNA;2003;18
1;HAROUNA;2004;28
1;HAROUNA;2005;17
1;HAROUNA;2006;28
1;HAROUNA;2007;22
1;HAROUNA;2008;24
1;HAROUNA;2009;21
1;HAROUNA;2010;29
1;HAROUNA;2011;23
1;HAROUNA;2012;28
1;HAROUNA;2013;33
1;HAROUNA;2014;30
1;HAROUNA;2015;28
1;HAROUNA;2016;35
1;HAROUNA;2017;40
1;HAROUNA;2018;45
1;HAROUNA;2019;34
1;HAROUNA;2020;38
1;HAROUNA;2021;39
1;HAROUNA;2022;40
1;HAROUNA;XXXX;7
