sexe;preusuel;annais;nombre
1;RIGOBERT;1900;9
1;RIGOBERT;1901;8
1;RIGOBERT;1902;9
1;RIGOBERT;1903;12
1;RIGOBERT;1904;15
1;RIGOBERT;1905;26
1;RIGOBERT;1906;14
1;RIGOBERT;1907;18
1;RIGOBERT;1908;13
1;RIGOBERT;1909;7
1;RIGOBERT;1910;22
1;RIGOBERT;1911;22
1;RIGOBERT;1912;16
1;RIGOBERT;1913;19
1;RIGOBERT;1914;15
1;RIGOBERT;1915;17
1;RIGOBERT;1916;15
1;RIGOBERT;1917;18
1;RIGOBERT;1918;18
1;RIGOBERT;1919;12
1;RIGOBERT;1920;24
1;RIGOBERT;1921;14
1;RIGOBERT;1922;15
1;RIGOBERT;1923;19
1;RIGOBERT;1924;17
1;RIGOBERT;1925;27
1;RIGOBERT;1926;22
1;RIGOBERT;1927;23
1;RIGOBERT;1928;31
1;RIGOBERT;1929;19
1;RIGOBERT;1930;30
1;RIGOBERT;1931;12
1;RIGOBERT;1932;14
1;RIGOBERT;1933;17
1;RIGOBERT;1934;10
1;RIGOBERT;1935;19
1;RIGOBERT;1936;15
1;RIGOBERT;1937;22
1;RIGOBERT;1938;22
1;RIGOBERT;1939;25
1;RIGOBERT;1940;12
1;RIGOBERT;1941;11
1;RIGOBERT;1942;13
1;RIGOBERT;1943;19
1;RIGOBERT;1944;8
1;RIGOBERT;1945;15
1;RIGOBERT;1946;17
1;RIGOBERT;1947;22
1;RIGOBERT;1948;16
1;RIGOBERT;1949;11
1;RIGOBERT;1950;20
1;RIGOBERT;1951;24
1;RIGOBERT;1952;20
1;RIGOBERT;1953;15
1;RIGOBERT;1954;22
1;RIGOBERT;1955;20
1;RIGOBERT;1956;16
1;RIGOBERT;1957;16
1;RIGOBERT;1958;10
1;RIGOBERT;1959;5
1;RIGOBERT;1960;6
1;RIGOBERT;1961;6
1;RIGOBERT;1962;6
1;RIGOBERT;1963;3
1;RIGOBERT;1964;6
1;RIGOBERT;1965;9
1;RIGOBERT;1966;6
1;RIGOBERT;1967;3
1;RIGOBERT;1968;6
1;RIGOBERT;1969;6
1;RIGOBERT;1971;5
1;RIGOBERT;1973;3
1;RIGOBERT;XXXX;22
